W,I,J,K,LAT,LON,ALT_MSL,ACCELX,ACCELY,ACCELZ,GYROX,GYROY,GYROZ,MAGX,MAGY,MAGZ,Time,,LAT_DEG,LON_DEG
-0.24,-0.12,0.02,-0.96,422737344,-718090944,189036,0.09,0.46,0.9,0.89,-1.24,-0.66,-0.05,11200,-0.17,17:03:54,,42.2737344,-71.8090944
1,-0.01,-0.04,-0.08,422737344,-718090944,189765,0.09,0.46,0.9,0.21,-2.34,-0.75,-0.05,11152,-0.17,17:03:54,,42.2737344,-71.8090944
-0.88,-0.21,0.16,0.4,422737344,-718090944,189504,0.1,0.47,0.9,-2.15,-2.02,-1.6,-0.05,11448,-0.17,17:03:54,,42.2737344,-71.8090944
0.81,-0.04,0.06,0.57,422737344,-718090944,189504,0.1,0.46,0.87,1.3,-3.47,-2.12,-0.05,11424,-0.17,17:03:54,,42.2737344,-71.8090944
0.58,-0.73,0.07,-0.36,422737344,-718091008,189769,0.09,0.47,0.87,-5.96,-2.34,-2.46,-0.05,12032,-0.17,17:03:54,,42.2737344,-71.8091008
0.33,-0.93,0.13,-0.13,422737344,-718091008,189769,0.09,0.46,0.92,1.76,-1.79,-1.87,-0.06,11536,-0.17,17:03:54,,42.2737344,-71.8091008
0.28,-0.95,0.14,-0.06,422737344,-718091008,189906,0.07,0.46,0.91,-2.94,0.71,-0.17,-0.05,11976,-0.17,17:03:54,,42.2737344,-71.8091008
0.26,-0.95,0.15,-0.03,422737344,-718091008,189906,0.08,0.46,0.89,3.17,0.37,0.98,-0.05,11608,-0.16,17:03:54,,42.2737344,-71.8091008
0.25,-0.96,0.15,-0.02,422737312,-718091072,191736,0.08,0.47,0.92,0.77,2.31,1.29,-0.05,11376,-0.17,17:03:55,,42.2737312,-71.8091072
0.25,-0.96,0.15,-0.01,422737312,-718091072,191658,0.09,0.46,0.87,1.85,1.68,2.34,-0.05,11352,-0.17,17:03:55,,42.2737312,-71.8091072
0.25,-0.96,0.15,0,422737312,-718091072,191953,0.1,0.46,0.92,1.9,0.84,1.27,-0.05,11208,-0.16,17:03:55,,42.2737312,-71.8091072
0.25,-0.96,0.15,0,422737312,-718091072,191957,0.11,0.46,0.87,-0.63,-0.23,0.64,-0.05,11256,-0.16,17:03:55,,42.2737312,-71.8091072
0.25,-0.96,0.15,0.01,422737312,-718091072,191957,0.1,0.47,0.88,3.65,-2.46,-0.7,-0.05,11576,-0.17,17:03:55,,42.2737312,-71.8091072
0.25,-0.96,0.15,0.01,422737312,-718091136,191919,0.1,0.47,0.86,-0.39,-2.45,-1.4,-0.05,11952,-0.17,17:03:55,,42.2737312,-71.8091136
0.25,-0.96,0.15,0.01,422737312,-718091136,191814,0.09,0.47,0.9,0.85,-3.34,-1.89,-0.05,11904,-0.17,17:03:55,,42.2737312,-71.8091136
0.24,-0.96,0.15,0.01,422737312,-718091072,191567,0.07,0.47,0.91,-3.1,-2.07,-2.16,-0.05,11672,-0.17,17:03:55,,42.2737312,-71.8091072
0.24,-0.96,0.15,0,422737312,-718091072,191567,0.07,0.46,0.9,0.16,-2.19,-1.33,-0.05,11712,-0.17,17:03:55,,42.2737312,-71.8091072
0.24,-0.96,0.15,0,422737312,-718091136,191613,0.07,0.47,0.9,1.83,-1.95,-0.46,-0.05,11328,-0.17,17:03:55,,42.2737312,-71.8091136
0.24,-0.96,0.15,0,422737312,-718091136,191529,0.08,0.47,0.89,2.14,-0.89,0.22,-0.04,11744,-0.17,17:03:55,,42.2737312,-71.8091136
0.24,-0.96,0.15,0,422737312,-718091136,191529,0.08,0.48,0.89,1.22,-0.08,0.62,-0.05,11528,-0.17,17:03:55,,42.2737312,-71.8091136
0.24,-0.96,0.15,0,422737312,-718091136,191643,0.09,0.47,0.89,-0.63,1.33,0.86,-0.05,12208,-0.17,17:03:55,,42.2737312,-71.8091136
0.24,-0.96,0.15,0,422737312,-718091136,191736,0.09,0.46,0.9,-1.36,1.69,1.36,-0.05,11512,-0.16,17:03:55,,42.2737312,-71.8091136
0.24,-0.96,0.15,0.01,422737312,-718091136,191736,0.1,0.46,0.9,0.52,1.3,1.24,-0.05,11440,-0.17,17:03:55,,42.2737312,-71.8091136
0.24,-0.96,0.15,0.01,422737312,-718091136,191847,0.1,0.46,0.9,1.47,0.63,0.59,-0.05,11752,-0.17,17:03:55,,42.2737312,-71.8091136
0.24,-0.96,0.15,0.01,422737312,-718091136,191818,0.11,0.47,0.88,1.46,0.21,0.27,-0.05,11656,-0.17,17:03:55,,42.2737312,-71.8091136
0.24,-0.96,0.15,0.01,422737312,-718091136,191753,0.11,0.47,0.89,0.02,0.09,-0.35,-0.05,12920,-0.18,17:03:55,,42.2737312,-71.8091136
0.24,-0.96,0.15,0.01,422737312,-718091136,191753,0.1,0.46,0.89,-0.9,0.08,-0.83,-0.05,12368,-0.17,17:03:55,,42.2737312,-71.8091136
0.24,-0.96,0.15,0.01,422737312,-718091136,191596,0.09,0.46,0.9,0.14,-0.7,-0.89,-0.05,12136,-0.17,17:03:55,,42.2737312,-71.8091136
0.24,-0.96,0.15,0.01,422737312,-718091136,191552,0.09,0.47,0.9,0.83,-0.85,-0.91,-0.05,11480,-0.17,17:03:55,,42.2737312,-71.8091136
0.24,-0.96,0.15,0.01,422737312,-718091136,191601,0.08,0.46,0.89,0.44,-0.45,-0.77,-0.05,11456,-0.17,17:03:55,,42.2737312,-71.8091136
0.24,-0.96,0.15,0.01,422737312,-718091136,191601,0.08,0.47,0.89,0.74,-0.28,-0.41,-0.05,11712,-0.17,17:03:55,,42.2737312,-71.8091136
0.24,-0.96,0.15,0.01,422737312,-718091200,191734,0.08,0.47,0.9,-1.12,0.35,-0.25,-0.04,12880,-0.17,17:03:55,,42.2737312,-71.80912
0.24,-0.96,0.15,0.01,422737312,-718091200,191734,0.08,0.47,0.89,0.96,-0.13,0,-0.05,11456,-0.16,17:03:55,,42.2737312,-71.80912
0.24,-0.96,0.15,0.01,422737312,-718091200,191643,0.09,0.47,0.9,-0.08,0.2,-0.08,-0.05,11328,-0.17,17:03:55,,42.2737312,-71.80912
0.24,-0.96,0.15,0.01,422737312,-718091200,191722,0.09,0.47,0.89,0.13,0.26,0.06,-0.05,12896,-0.18,17:03:56,,42.2737312,-71.80912
0.24,-0.96,0.15,0.01,422737312,-718091200,191594,0.1,0.46,0.89,-0.75,0.14,-0.16,-0.05,12208,-0.17,17:03:56,,42.2737312,-71.80912
0.24,-0.96,0.15,0.01,422737312,-718091200,191594,0.09,0.47,0.9,-0.49,0.09,-0.31,-0.05,11568,-0.16,17:03:56,,42.2737312,-71.80912
0.24,-0.96,0.15,0.01,422737312,-718091200,191483,0.09,0.47,0.89,0.46,-0.25,-0.43,-0.05,11520,-0.17,17:03:56,,42.2737312,-71.80912
0.24,-0.96,0.15,0.01,422737312,-718091200,191550,0.09,0.47,0.89,1.06,-0.56,-0.44,-0.05,11744,-0.17,17:03:56,,42.2737312,-71.80912
0.24,-0.96,0.15,0.01,422737312,-718091200,191464,0.09,0.47,0.89,-0.4,-0.21,-0.54,-0.05,12408,-0.17,17:03:56,,42.2737312,-71.80912
0.24,-0.96,0.15,0.01,422737312,-718091200,191467,0.09,0.47,0.89,-0.33,0.06,-0.44,-0.05,12280,-0.17,17:03:56,,42.2737312,-71.80912
0.24,-0.96,0.15,0.01,422737312,-718091200,191467,0.08,0.47,0.89,0.41,-0.24,-0.22,-0.05,11848,-0.17,17:03:56,,42.2737312,-71.80912
0.24,-0.96,0.15,0.01,422737280,-718091200,191457,0.09,0.47,0.89,0.06,-0.15,-0.17,-0.05,11176,-0.16,17:03:56,,42.273728,-71.80912
0.24,-0.96,0.15,0.01,422737280,-718091200,191523,0.09,0.47,0.89,0.36,-0.05,-0.31,-0.05,11520,-0.17,17:03:56,,42.273728,-71.80912
0.24,-0.96,0.15,0.01,422737280,-718091200,191523,0.09,0.47,0.89,0.37,-0.14,-0.12,-0.05,11624,-0.17,17:03:56,,42.273728,-71.80912
0.24,-0.96,0.15,0.01,422737280,-718091200,191443,0.09,0.46,0.89,-0.06,0.08,-0.3,-0.05,11960,-0.17,17:03:56,,42.273728,-71.80912
0.24,-0.96,0.15,0.01,422737280,-718091200,191345,0.09,0.46,0.9,0.24,-0.28,-0.23,-0.05,11752,-0.17,17:03:56,,42.273728,-71.80912
0.24,-0.96,0.15,0.01,422737280,-718091264,191310,0.09,0.47,0.9,0.31,-0.18,-0.36,-0.05,12136,-0.17,17:03:56,,42.273728,-71.8091264
0.24,-0.96,0.15,0.01,422737280,-718091264,191310,0.09,0.46,0.89,0.33,-0.21,-0.34,-0.05,12416,-0.17,17:03:56,,42.273728,-71.8091264
0.24,-0.96,0.15,0.01,422737280,-718091264,191228,0.09,0.47,0.9,0.25,-0.14,-0.29,-0.05,11952,-0.16,17:03:56,,42.273728,-71.8091264
0.24,-0.96,0.15,0.01,422737280,-718091264,191284,0.09,0.46,0.9,0.23,-0.15,-0.28,-0.04,12464,-0.17,17:03:56,,42.273728,-71.8091264
0.24,-0.96,0.15,0.01,422737280,-718091264,191278,0.09,0.46,0.89,0.03,-0.15,-0.41,-0.05,11240,-0.16,17:03:56,,42.273728,-71.8091264
0.24,-0.96,0.15,0.01,422737280,-718091264,191359,0.09,0.47,0.89,0.34,-0.29,-0.28,-0.05,11440,-0.17,17:03:56,,42.273728,-71.8091264
0.24,-0.96,0.15,0.01,422737280,-718091264,191359,0.09,0.46,0.89,0.18,-0.15,-0.44,-0.05,11536,-0.17,17:03:56,,42.273728,-71.8091264
0.24,-0.96,0.15,0.01,422737280,-718091264,191355,0.09,0.47,0.9,0.28,-0.28,-0.31,-0.05,12264,-0.17,17:03:56,,42.273728,-71.8091264
0.24,-0.96,0.15,0.01,422737280,-718091264,191328,0.09,0.47,0.89,-0.03,-0.14,-0.31,-0.05,11576,-0.17,17:03:56,,42.273728,-71.8091264
0.24,-0.96,0.15,0.01,422737280,-718091264,191281,0.09,0.47,0.9,0.73,-0.24,-0.28,-0.05,11808,-0.17,17:03:56,,42.273728,-71.8091264
0.24,-0.96,0.15,0.01,422737280,-718091264,191281,0.09,0.47,0.9,-0.4,-0.08,-0.31,-0.05,11256,-0.17,17:03:56,,42.273728,-71.8091264
0.24,-0.96,0.15,0.01,422737280,-718091264,191245,0.09,0.47,0.9,0.33,-0.28,-0.22,-0.05,11792,-0.17,17:03:56,,42.273728,-71.8091264
0.24,-0.96,0.15,0.01,422737280,-718091264,191263,0.09,0.47,0.9,-0.21,0.07,-0.38,-0.05,11824,-0.17,17:03:56,,42.273728,-71.8091264
0.24,-0.96,0.15,0.01,422737280,-718091328,191317,0.09,0.47,0.89,0.82,-0.4,-0.31,-0.05,12528,-0.18,17:03:57,,42.273728,-71.8091328
0.24,-0.96,0.15,0.01,422737280,-718091328,191358,0.09,0.47,0.9,-0.74,0.07,-0.49,-0.05,12064,-0.17,17:03:57,,42.273728,-71.8091328
0.24,-0.96,0.15,0.01,422737280,-718091328,191358,0.09,0.47,0.89,0.03,-0.23,-0.23,-0.05,12144,-0.17,17:03:57,,42.273728,-71.8091328
0.24,-0.96,0.15,0.01,422737280,-718091328,191364,0.09,0.47,0.9,0.64,-0.24,-0.36,-0.05,11960,-0.16,17:03:57,,42.273728,-71.8091328
0.24,-0.96,0.15,0.01,422737280,-718091328,191356,0.09,0.47,0.9,0.11,-0.2,-0.28,-0.05,11856,-0.16,17:03:57,,42.273728,-71.8091328
0.24,-0.96,0.15,0.01,422737280,-718091328,191337,0.09,0.47,0.89,0.17,-0.12,-0.49,-0.05,12144,-0.17,17:03:57,,42.273728,-71.8091328
0.24,-0.96,0.15,0.01,422737280,-718091328,191337,0.09,0.47,0.89,0.22,-0.22,-0.22,-0.04,13192,-0.17,17:03:57,,42.273728,-71.8091328
0.24,-0.96,0.15,0.01,422737280,-718091328,191306,0.09,0.47,0.9,-0.27,-0.09,-0.35,-0.05,12088,-0.17,17:03:57,,42.273728,-71.8091328
0.24,-0.96,0.15,0.01,422737280,-718091328,191245,0.09,0.46,0.9,-0.11,-0.08,-0.36,-0.05,11640,-0.17,17:03:57,,42.273728,-71.8091328
0.24,-0.96,0.15,0.01,422737280,-718091328,191231,0.09,0.46,0.89,0.2,-0.2,-0.36,-0.05,11128,-0.16,17:03:57,,42.273728,-71.8091328
0.24,-0.96,0.15,0.01,422737280,-718091328,191231,0.09,0.46,0.9,0.36,-0.22,-0.34,-0.05,11216,-0.17,17:03:57,,42.273728,-71.8091328
0.24,-0.96,0.15,0.01,422737280,-718091392,191233,0.09,0.47,0.9,-0.24,-0.05,-0.38,-0.05,12856,-0.18,17:03:57,,42.273728,-71.8091392
0.24,-0.96,0.15,0.01,422737248,-718091392,191223,0.09,0.47,0.89,0.43,-0.23,-0.34,-0.05,11928,-0.17,17:03:57,,42.2737248,-71.8091392
0.24,-0.96,0.15,0.01,422737248,-718091392,191260,0.09,0.47,0.9,0.14,-0.21,-0.25,-0.05,12216,-0.17,17:03:57,,42.2737248,-71.8091392
0.24,-0.96,0.15,0.01,422737248,-718091392,191258,0.09,0.47,0.89,0.15,-0.08,-0.47,-0.06,11928,-0.17,17:03:57,,42.2737248,-71.8091392
0.24,-0.96,0.15,0.01,422737248,-718091392,191258,0.09,0.47,0.9,-0.15,-0.02,-0.27,-0.05,11728,-0.17,17:03:57,,42.2737248,-71.8091392
0.24,-0.96,0.15,0.01,422737248,-718091392,191223,0.09,0.47,0.9,-0.55,0.26,-0.36,-0.05,11944,-0.16,17:03:57,,42.2737248,-71.8091392
0.24,-0.96,0.15,0.01,422737248,-718091392,191209,0.09,0.46,0.89,2.43,-0.19,-0.06,-0.05,12464,-0.17,17:03:57,,42.2737248,-71.8091392
0.24,-0.96,0.15,0.01,422737248,-718091392,191160,0.09,0.47,0.88,-1.01,0.48,-0.09,-0.05,11896,-0.17,17:03:57,,42.2737248,-71.8091392
0.24,-0.96,0.15,0.01,422737248,-718091392,191160,0.09,0.47,0.89,1.98,-0.22,-0.15,-0.05,11152,-0.16,17:03:57,,42.2737248,-71.8091392
0.24,-0.96,0.15,0.01,422737248,-718091392,191098,0.09,0.47,0.88,1.53,-0.64,-0.13,-0.05,11616,-0.17,17:03:57,,42.2737248,-71.8091392
0.24,-0.96,0.15,0.01,422737248,-718091456,191141,0.09,0.47,0.91,-0.91,-0.34,-0.54,-0.05,12224,-0.17,17:03:57,,42.2737248,-71.8091456
0.24,-0.96,0.15,0.01,422737248,-718091456,191147,0.08,0.46,0.93,1.83,1.43,-0.76,-0.05,12400,-0.18,17:03:57,,42.2737248,-71.8091456
0.24,-0.96,0.15,0.01,422737248,-718091456,191147,0.08,0.47,0.86,-1.59,0.33,0.41,-0.05,12280,-0.17,17:03:57,,42.2737248,-71.8091456
0.24,-0.96,0.15,0.01,422737248,-718091456,191136,0.08,0.49,0.91,-1.59,-0.92,0.26,-0.05,11776,-0.16,17:03:57,,42.2737248,-71.8091456
0.24,-0.96,0.15,0.01,422737248,-718091456,191088,0.09,0.48,0.85,1.4,-1.55,-0.75,-0.05,11912,-0.16,17:03:57,,42.2737248,-71.8091456
0.24,-0.96,0.15,0.01,422737248,-718091456,191055,0.08,0.47,0.89,0.86,-3.93,0.06,-0.05,11392,-0.16,17:03:58,,42.2737248,-71.8091456
0.24,-0.96,0.14,0.01,422737248,-718091456,191055,0.09,0.47,0.92,-6.42,0.17,-1.46,-0.05,12080,-0.17,17:03:58,,42.2737248,-71.8091456
0.24,-0.96,0.14,0.01,422737248,-718091456,191081,0.08,0.46,0.88,-0.32,-0.37,0.29,-0.05,12256,-0.17,17:03:58,,42.2737248,-71.8091456
0.24,-0.96,0.14,0.01,422737248,-718091456,191101,0.09,0.46,0.88,2.45,-1.27,0.93,-0.05,12544,-0.17,17:03:58,,42.2737248,-71.8091456
0.24,-0.96,0.15,0.01,422737248,-718091456,191080,0.1,0.46,0.89,-2.14,1.04,0.32,-0.05,12224,-0.17,17:03:58,,42.2737248,-71.8091456
0.24,-0.96,0.15,0.01,422737248,-718091456,191080,0.1,0.45,0.91,3.43,0.22,0.75,-0.05,12080,-0.16,17:03:58,,42.2737248,-71.8091456
0.24,-0.96,0.15,0.01,422737248,-718091456,191071,0.11,0.45,0.92,-2.13,1.92,0.55,-0.05,11944,-0.17,17:03:58,,42.2737248,-71.8091456
0.24,-0.96,0.15,0.01,422737248,-718091456,191067,0.12,0.45,0.87,5.89,0.53,0.59,-0.05,11760,-0.17,17:03:58,,42.2737248,-71.8091456
0.24,-0.96,0.15,0.01,422737248,-718091456,191038,0.11,0.47,0.9,-0.53,2.03,1.1,-0.05,11624,-0.16,17:03:58,,42.2737248,-71.8091456
0.24,-0.96,0.15,0.01,422737248,-718091456,191038,0.11,0.47,0.88,2.05,0.7,-1.51,-0.05,11568,-0.17,17:03:58,,42.2737248,-71.8091456
0.24,-0.96,0.15,0.01,422737248,-718091456,191006,0.09,0.47,0.88,2.59,0.07,-2.51,-0.06,11424,-0.17,17:03:58,,42.2737248,-71.8091456
0.24,-0.96,0.15,0.01,422737248,-718091520,191005,0.07,0.46,0.89,-1.42,-0.9,-2.58,-0.05,12272,-0.17,17:03:58,,42.2737248,-71.809152
0.24,-0.96,0.14,0.01,422737248,-718091520,190988,0.08,0.5,0.9,-2.17,-1.7,-1.71,-0.05,12160,-0.17,17:03:58,,42.2737248,-71.809152
0.24,-0.96,0.14,0.01,422737248,-718091520,190988,0.05,0.41,0.95,2.25,-1.57,-0.83,-0.05,12016,-0.18,17:03:58,,42.2737248,-71.809152
0.24,-0.96,0.14,0,422737248,-718091520,191023,0.05,0.47,0.87,-2.34,0.53,-0.91,-0.05,11760,-0.16,17:03:58,,42.2737248,-71.809152
0.24,-0.96,0.14,0,422737248,-718091520,191009,0.07,0.47,0.89,-4.02,0.64,0.46,-0.05,11712,-0.16,17:03:58,,42.2737248,-71.809152
0.24,-0.96,0.14,0,422737248,-718091520,190984,0.09,0.47,0.91,1.97,2.13,0.01,-0.05,12136,-0.17,17:03:58,,42.2737248,-71.809152
0.24,-0.96,0.14,0.01,422737248,-718091520,190984,0.1,0.47,0.87,8.65,0.99,-0.17,-0.05,12120,-0.17,17:03:58,,42.2737248,-71.809152
0.24,-0.96,0.14,0.01,422737248,-718091520,190965,0.09,0.47,0.87,-2.09,0.83,0.59,-0.05,11712,-0.17,17:03:58,,42.2737248,-71.809152
0.24,-0.96,0.14,0.01,422737248,-718091520,190946,0.09,0.47,0.9,-0.92,0.34,0.68,-0.04,11800,-0.17,17:03:58,,42.2737248,-71.809152
0.24,-0.96,0.14,0.01,422737248,-718091520,190927,0.09,0.47,0.89,-3.55,-0.09,-0.97,-0.05,11056,-0.16,17:03:58,,42.2737248,-71.809152
0.24,-0.96,0.14,0.01,422737248,-718091520,190908,0.09,0.46,0.9,-3.45,-0.94,-0.97,-0.05,11520,-0.17,17:03:58,,42.2737248,-71.809152
0.24,-0.96,0.14,0.01,422737248,-718091520,190908,0.08,0.47,0.9,5.04,-2.29,-0.76,-0.05,11824,-0.17,17:03:58,,42.2737248,-71.809152
0.24,-0.96,0.14,0.01,422737248,-718091520,190912,0.09,0.47,0.89,2.75,-2.27,-0.92,-0.05,12088,-0.17,17:03:58,,42.2737248,-71.809152
0.24,-0.96,0.14,0.01,422737248,-718091584,190902,0.08,0.48,0.89,-2.69,-1.11,-1.44,-0.05,12600,-0.17,17:03:58,,42.2737248,-71.8091584
0.24,-0.96,0.14,0.01,422737248,-718091584,190902,0.07,0.48,0.88,-2.09,-0.97,-1.11,-0.05,11744,-0.16,17:03:58,,42.2737248,-71.8091584
0.24,-0.96,0.14,0,422737216,-718091584,190878,0.07,0.47,0.92,-0.63,-0.44,-0.31,-0.05,11520,-0.16,17:03:58,,42.2737216,-71.8091584
0.24,-0.96,0.14,0,422737216,-718091584,190862,0.07,0.47,0.91,1.78,0.42,0.59,-0.04,12024,-0.17,17:03:59,,42.2737216,-71.8091584
0.24,-0.96,0.14,0.01,422737216,-718091584,190871,0.09,0.47,0.87,2.65,-0.37,0.71,-0.05,11608,-0.17,17:03:59,,42.2737216,-71.8091584
0.24,-0.96,0.14,0.01,422737216,-718091584,190871,0.09,0.47,0.91,-2.75,0.44,-0.15,-0.05,12176,-0.17,17:03:59,,42.2737216,-71.8091584
0.25,-0.96,0.14,0.01,422737216,-718091584,190854,0.09,0.49,0.86,-3.76,-0.6,1.12,-0.05,12496,-0.17,17:03:59,,42.2737216,-71.8091584
0.25,-0.96,0.14,0.01,422737216,-718091584,190849,0.07,0.52,0.86,-15.12,0.49,2.97,-0.05,11840,-0.16,17:03:59,,42.2737216,-71.8091584
0.24,-0.96,0.14,0.01,422737216,-718091584,190847,0.08,0.48,0.89,-19.42,5.55,1.97,-0.04,12488,-0.17,17:03:59,,42.2737216,-71.8091584
0.24,-0.96,0.14,0,422737216,-718091584,190847,0.05,0.43,0.89,-17.7,5.03,0.23,-0.05,12432,-0.16,17:03:59,,42.2737216,-71.8091584
0.23,-0.96,0.14,0,422737216,-718091584,190838,0.06,0.46,0.93,-26.31,4.32,0.4,-0.05,12776,-0.16,17:03:59,,42.2737216,-71.8091584
0.23,-0.96,0.14,0,422737216,-718091584,190816,0.08,0.43,0.92,-16.38,7.45,6.97,-0.05,13472,-0.16,17:03:59,,42.2737216,-71.8091584
0.23,-0.96,0.15,0,422737216,-718091584,190804,0.08,0.46,0.91,-10.7,3.04,4.13,-0.05,13360,-0.16,17:03:59,,42.2737216,-71.8091584
0.23,-0.96,0.14,0,422737216,-718091584,190804,0.05,0.47,0.86,-3.46,-3.37,-2.25,-0.05,13744,-0.16,17:03:59,,42.2737216,-71.8091584
0.23,-0.96,0.14,0,422737216,-718091584,190763,0.09,0.43,0.87,-14.42,-0.94,-4.42,-0.04,13784,-0.15,17:03:59,,42.2737216,-71.8091584
0.22,-0.96,0.14,0,422737216,-718091584,190727,0.06,0.48,0.92,-25.25,3.23,0.46,-0.05,13080,-0.15,17:03:59,,42.2737216,-71.8091584
0.22,-0.96,0.15,0,422737216,-718091584,190727,0.08,0.43,0.88,-36.05,12.54,16.52,-0.05,13776,-0.15,17:03:59,,42.2737216,-71.8091584
0.21,-0.97,0.16,0,422737216,-718091584,190694,0.04,0.43,0.94,-53.59,22.28,37.89,-0.04,15608,-0.15,17:03:59,,42.2737216,-71.8091584
0.19,-0.97,0.17,0,422737216,-718091584,190663,0.05,0.37,0.99,-45.84,22.35,44.64,-0.05,15240,-0.13,17:03:59,,42.2737216,-71.8091584
0.18,-0.97,0.18,0,422737216,-718091584,190643,0.07,0.34,1.02,-58.66,33.66,57.02,-0.05,16040,-0.13,17:03:59,,42.2737216,-71.8091584
0.16,-0.97,0.19,0,422737216,-718091584,190643,0.1,0.31,1.01,-42.47,35.01,47.06,-0.04,16320,-0.12,17:03:59,,42.2737216,-71.8091584
0.16,-0.97,0.2,0,422737216,-718091584,190622,0.15,0.34,1.03,-12.12,27.42,28.46,-0.04,16176,-0.12,17:03:59,,42.2737216,-71.8091584
0.16,-0.97,0.2,0,422737216,-718091584,190597,0.12,0.32,1.13,-1.83,16.69,5.57,-0.04,16080,-0.12,17:03:59,,42.2737216,-71.8091584
0.16,-0.97,0.2,0,422737216,-718091648,190567,0.11,0.37,1.06,25.43,11.95,-13.43,-0.04,16024,-0.13,17:03:59,,42.2737216,-71.8091648
0.17,-0.97,0.2,0,422737216,-718091648,190541,0.09,0.37,1.12,33.91,13.69,-16.38,-0.04,15936,-0.13,17:03:59,,42.2737216,-71.8091648
0.18,-0.96,0.2,0,422737216,-718091648,190541,0.11,0.38,0.98,17.29,7.63,-15.22,-0.04,16016,-0.14,17:03:59,,42.2737216,-71.8091648
0.19,-0.96,0.19,-0.01,422737216,-718091648,190523,0.07,0.47,1.13,31.03,1.7,-14.92,-0.04,16680,-0.14,17:03:59,,42.2737216,-71.8091648
0.19,-0.96,0.19,-0.01,422737216,-718091648,190500,0.08,0.42,1.06,29.91,1.39,-13.52,-0.03,16840,-0.15,17:03:59,,42.2737216,-71.8091648
0.19,-0.96,0.19,0,422737216,-718091648,190500,0.1,0.41,1.17,30.97,-5.43,-12.05,-0.04,16320,-0.14,17:03:59,,42.2737216,-71.8091648
0.2,-0.96,0.19,0,422737216,-718091648,190496,0.12,0.35,0.93,42.81,-16.47,-7.38,-0.03,15480,-0.15,17:03:59,,42.2737216,-71.8091648
0.19,-0.96,0.19,0,422737184,-718091648,190470,0.07,0.3,1.37,16.87,-4.94,-17.71,-0.03,15472,-0.16,17:04:00,,42.2737184,-71.8091648
0.18,-0.97,0.19,0,422737184,-718091648,190455,0.02,0.3,1.21,4.58,2.07,-22.07,-0.03,15072,-0.15,17:04:00,,42.2737184,-71.8091648
0.17,-0.97,0.18,0,422737184,-718091648,190430,0.07,0.26,1.13,7.39,3.47,-22.79,-0.03,15064,-0.17,17:04:00,,42.2737184,-71.8091648
0.16,-0.97,0.18,-0.01,422737184,-718091648,190430,0,0.28,1.18,7.42,5.87,-27.14,-0.03,14800,-0.17,17:04:00,,42.2737184,-71.8091648
0.15,-0.97,0.18,-0.02,422737184,-718091648,190420,-0.04,0.26,1.22,-8.22,8.19,-29.41,-0.03,15336,-0.18,17:04:00,,42.2737184,-71.8091648
0.14,-0.97,0.17,-0.02,422737184,-718091648,190410,-0.04,0.27,1.16,-1.65,-5,-35.46,-0.03,15240,-0.18,17:04:00,,42.2737184,-71.8091648
0.14,-0.98,0.17,-0.02,422737184,-718091648,190379,-0.01,0.23,1.16,19.46,-13.77,-28.63,-0.03,15144,-0.19,17:04:00,,42.2737184,-71.8091648
0.15,-0.97,0.16,-0.02,422737184,-718091648,190379,-0.03,0.38,1.03,53.05,-21.73,-32.8,-0.04,13976,-0.19,17:04:00,,42.2737184,-71.8091648
0.17,-0.97,0.15,-0.02,422737184,-718091648,190359,-0.01,0.41,1.05,33.46,-33.24,-34.29,-0.04,13288,-0.19,17:04:00,,42.2737184,-71.8091648
0.17,-0.97,0.14,-0.01,422737184,-718091648,190307,0.13,0.44,1.06,17.17,-28.47,-49.01,-0.04,12552,-0.19,17:04:00,,42.2737184,-71.8091648
0.18,-0.97,0.13,0,422737184,-718091648,190282,0.05,0.37,0.86,16.46,-51.12,-40.16,-0.04,11992,-0.21,17:04:00,,42.2737184,-71.8091648
0.18,-0.98,0.12,0.01,422737184,-718091648,190244,0.03,0.32,0.8,-15.19,-45.11,-49.38,-0.04,11912,-0.2,17:04:00,,42.2737184,-71.8091648
0.17,-0.98,0.1,0.02,422737184,-718091648,190244,0.08,0.25,0.81,-32.14,-51.14,-49.71,-0.04,11520,-0.2,17:04:00,,42.2737184,-71.8091648
0.17,-0.98,0.09,0.04,422737184,-718091648,190241,0.13,0.24,0.67,-9.17,-51.42,-45.66,-0.04,11576,-0.22,17:04:00,,42.2737184,-71.8091648
0.17,-0.98,0.07,0.05,422737184,-718091648,190238,0.14,0.24,0.61,-40.04,-43.09,-55.86,-0.05,11992,-0.21,17:04:00,,42.2737184,-71.8091648
0.17,-0.98,0.06,0.06,422737184,-718091648,190235,0.16,0.23,0.82,18.94,-33.53,-53.66,-0.05,11088,-0.22,17:04:00,,42.2737184,-71.8091648
0.18,-0.98,0.05,0.08,422737184,-718091648,190235,0.19,0.27,0.51,10.65,-39.77,-50.23,-0.04,11008,-0.22,17:04:00,,42.2737184,-71.8091648
0.19,-0.98,0.03,0.09,422737184,-718091648,190232,0.13,0.35,0.77,-24.25,-26.91,-50.85,-0.04,10456,-0.21,17:04:00,,42.2737184,-71.8091648
0.2,-0.98,0.01,0.09,422737184,-718091648,190227,0.12,0.35,0.67,1.09,-32.81,-44.83,-0.04,10192,-0.22,17:04:00,,42.2737184,-71.8091648
