"altitude","gpsLock","magZ","accelZ","magY","accelY","magX","accelX","state","epochTime","timestamp","satellites","i","j","velZ","pressure","k","velY","velX","gpsAltMSL","gpsAltAGL","gyroX","gyroY","gyroZ","posX","posY","posZ","w","gpsLat","gpsLong","internalEpochTime"
"223.66970825195312","false","141940.0","1.0166015625","133283.0","0.02734375","134272.0","-0.0390625","0","1615075450","250380","0","-0.19272078573703766","-0.9809900522232056","0.0","986.6669921875","0.010348716750741005","0.0","0.0","0.0","0.0","-0.05579376220703125","-0.09175872802734375","-0.00960540771484375","0.0","0.0","0.0","0.02025395631790161","0.0","0.0","1708736595"
"224.18760681152344","false","141937.0","1.017578125","133297.0","0.02880859375","134289.0","-0.03759765625","0","1615075450","250404","0","-0.19307641685009003","-0.9809184074401855","0.0","986.606201171875","0.010347750037908554","0.0","0.0","0.0","0.0","0.08916473388671875","-0.13753509521484375","0.05905914306640625","0.0","0.0","0.0","0.020338620990514755","0.0","0.0","1708736595"
"224.18760681152344","false","141925.0","1.0166015625","133289.0","0.02978515625","134291.0","-0.03515625","0","1615075450","250434","0","-0.1934288889169693","-0.9808499813079834","0.0","986.606201171875","0.010456064715981483","0.0","0.0","0.0","0.0","0.03575897216796875","-0.11464691162109375","0.02854156494140625","0.0","0.0","0.0","0.020231565460562706","0.0","0.0","1708736595"
"224.18760681152344","false","141942.0","1.0166015625","133291.0","0.029296875","134276.0","-0.03515625","0","1615075450","250458","0","-0.19377127289772034","-0.9807837009429932","0.0","986.606201171875","0.010511692613363266","0.0","0.0","0.0","0.0","0.07390594482421875","-0.11464691162109375","-0.00197601318359375","0.0","0.0","0.0","0.02013683132827282","0.0","0.0","1708736595"
"223.6987762451172","false","141941.0","1.01708984375","133294.0","0.03125","134275.0","-0.03173828125","0","1615075450","250487","0","-0.1941242814064026","-0.980717658996582","0.0","986.663818359375","0.010754371993243694","0.0","0.0","0.0","0.0","0.00524139404296875","-0.00020599365234375","0.02091217041015625","0.0","0.0","0.0","0.019827624782919884","0.0","0.0","1708736595"
"223.6987762451172","false","141936.0","1.0166015625","133296.0","0.033203125","134282.0","-0.033203125","0","1615075450","250518","0","-0.19447840750217438","-0.980645477771759","0.0","986.663818359375","0.011104362085461617","0.0","0.0","0.0","0.0","0.08153533935546875","0.02268218994140625","0.04380035400390625","0.0","0.0","0.0","0.019730761647224426","0.0","0.0","1708736595"
"223.6987762451172","false","141937.0","1.01611328125","133303.0","0.0302734375","134290.0","-0.03515625","0","1615075450","250542","0","-0.19481819868087769","-0.9805769920349121","0.0","986.663818359375","0.011120353825390339","0.0","0.0","0.0","0.0","0.07390594482421875","0.08371734619140625","0.01328277587890625","0.0","0.0","0.0","0.019775403663516045","0.0","0.0","1708736595"
"224.37255859375","false","141947.0","1.01708984375","133271.0","0.0302734375","134286.0","-0.03564453125","0","1615075450","250572","0","-0.19516003131866455","-0.9805087447166443","0.0","986.584716796875","0.011066373437643051","0.0","0.0","0.0","0.0","-0.26178741455078125","-0.00783538818359375","0.02854156494140625","0.0","0.0","0.0","0.019821567460894585","0.0","0.0","1708736595"
"224.37255859375","false","141925.0","1.01708984375","133289.0","0.02783203125","134280.0","-0.0361328125","0","1615075450","250597","0","-0.19548818469047546","-0.9804447293281555","0.0","986.584716796875","0.010851911269128323","0.0","0.0","0.0","0.0","-0.04053497314453125","0.00742340087890625","-0.00960540771484375","0.0","0.0","0.0","0.019871419295668602","0.0","0.0","1708736595"
"224.37255859375","false","141938.0","1.01611328125","133276.0","0.02685546875","134285.0","-0.03662109375","0","1615075450","250625","0","-0.1958165317773819","-0.9803802371025085","0.0","986.584716796875","0.010597199201583862","0.0","0.0","0.0","0.0","0.03575897216796875","0.09134674072265625","0.00565338134765625","0.0","0.0","0.0","0.019958222284913063","0.0","0.0","1708736595"
"224.2113800048828","false","141949.0","1.01708984375","133277.0","0.02880859375","134285.0","-0.03857421875","0","1615075450","250649","0","-0.19613823294639587","-0.9803120493888855","0.0","986.603515625","0.010510312393307686","0.0","0.0","0.0","0.0","0.00524139404296875","-0.06124114990234375","-0.02486419677734375","0.0","0.0","0.0","0.020190387964248657","0.0","0.0","1708736595"
"224.2113800048828","false","141954.0","1.0166015625","133283.0","0.029296875","134271.0","-0.03857421875","0","1615075450","250679","0","-0.1964699625968933","-0.9802416563034058","0.0","986.603515625","0.01048562116920948","0.0","0.0","0.0","0.0","0.05101776123046875","-0.05361175537109375","0.02091217041015625","0.0","0.0","0.0","0.02039635367691517","0.0","0.0","1708736595"
"224.2113800048828","false","141930.0","1.01708984375","133289.0","0.02978515625","134276.0","-0.0361328125","0","1615075450","250704","0","-0.19680218398571014","-0.9801747798919678","0.0","986.603515625","0.010544980876147747","0.0","0.0","0.0","0.0","0.06627655029296875","-0.03835296630859375","0.00565338134765625","0.0","0.0","0.0","0.02037847973406315","0.0","0.0","1708736595"
"223.53759765625","false","141952.0","1.0166015625","133293.0","0.02880859375","134282.0","-0.033203125","0","1615075450","250734","0","-0.19711840152740479","-0.980116605758667","0.0","986.6826171875","0.010575847700238228","0.0","0.0","0.0","0.0","0.12731170654296875","-0.11464691162109375","-0.06301116943359375","0.0","0.0","0.0","0.020099669694900513","0.0","0.0","1708736595"
