magX, magY, magZ
134431.00000,135804.00000,140151.00000
134431.00000,135804.00000,140151.00000
134521.00000,135784.00000,140449.00000
134521.00000,135784.00000,140449.00000
134661.00000,135874.00000,140415.00000
134661.00000,135874.00000,140415.00000
134912.00000,135958.00000,140299.00000
134912.00000,135958.00000,140299.00000
135268.00000,135981.00000,140191.00000
135268.00000,135981.00000,140191.00000
135673.00000,135793.00000,139922.00000
135673.00000,135793.00000,139922.00000
136148.00000,135335.00000,139431.00000
136148.00000,135335.00000,139431.00000
136479.00000,134521.00000,138842.00000
136479.00000,134521.00000,138842.00000
136588.00000,133362.00000,138175.00000
136588.00000,133362.00000,138175.00000
136303.00000,132443.00000,137600.00000
136303.00000,132443.00000,137600.00000
136066.00000,132063.00000,137336.00000
136066.00000,132063.00000,137336.00000
135902.00000,131838.00000,137368.00000
135902.00000,131838.00000,137368.00000
135705.00000,131593.00000,137394.00000
135705.00000,131593.00000,137394.00000
135456.00000,131448.00000,137477.00000
135456.00000,131448.00000,137477.00000
135293.00000,131349.00000,137687.00000
135293.00000,131349.00000,137687.00000
135225.00000,131348.00000,137938.00000
135225.00000,131348.00000,137938.00000
135208.00000,131378.00000,138218.00000
135208.00000,131378.00000,138218.00000
135259.00000,131506.00000,138652.00000
135259.00000,131506.00000,138652.00000
135354.00000,131918.00000,139473.00000
135354.00000,131918.00000,139473.00000
135456.00000,132996.00000,140592.00000
135456.00000,132996.00000,140592.00000
135474.00000,134391.00000,141247.00000
135474.00000,134391.00000,141247.00000
135440.00000,135472.00000,141093.00000
135440.00000,135472.00000,141093.00000
135319.00000,135901.00000,140598.00000
135319.00000,135901.00000,140598.00000
135162.00000,136041.00000,140043.00000
135162.00000,136041.00000,140043.00000
135146.00000,135933.00000,139491.00000
135146.00000,135933.00000,139491.00000
135229.00000,135795.00000,139055.00000
135229.00000,135795.00000,139055.00000
135348.00000,135386.00000,138376.00000
135348.00000,135386.00000,138376.00000
135470.00000,134860.00000,137758.00000
135470.00000,134860.00000,137758.00000
135565.00000,134300.00000,137339.00000
135565.00000,134300.00000,137339.00000
135653.00000,133487.00000,136907.00000
135653.00000,133487.00000,136907.00000
135700.00000,132769.00000,136759.00000
135700.00000,132769.00000,136759.00000
135755.00000,132144.00000,136896.00000
135755.00000,132144.00000,136896.00000
135761.00000,131708.00000,137318.00000
135761.00000,131708.00000,137318.00000
135763.00000,131561.00000,137997.00000
135763.00000,131561.00000,137997.00000
135764.00000,131724.00000,138771.00000
135764.00000,131724.00000,138771.00000
135692.00000,132135.00000,139566.00000
135692.00000,132135.00000,139566.00000
135635.00000,132863.00000,140385.00000
135635.00000,132863.00000,140385.00000
135577.00000,133962.00000,141050.00000
135577.00000,133962.00000,141050.00000
135489.00000,134639.00000,141223.00000
135489.00000,134639.00000,141223.00000
135351.00000,135172.00000,141217.00000
135351.00000,135172.00000,141217.00000
135254.00000,135357.00000,141172.00000
135254.00000,135357.00000,141172.00000
135205.00000,135252.00000,141226.00000
135205.00000,135252.00000,141226.00000
135101.00000,134808.00000,141331.00000
135101.00000,134808.00000,141331.00000
135060.00000,134072.00000,141190.00000
135060.00000,134072.00000,141190.00000
135079.00000,133085.00000,140695.00000
135079.00000,133085.00000,140695.00000
135157.00000,132308.00000,139979.00000
135157.00000,132308.00000,139979.00000
135211.00000,131803.00000,139283.00000
135211.00000,131803.00000,139283.00000
135222.00000,131444.00000,138473.00000
135222.00000,131444.00000,138473.00000
135216.00000,131370.00000,137669.00000
135216.00000,131370.00000,137669.00000
135166.00000,131711.00000,136934.00000
135166.00000,131711.00000,136934.00000
135125.00000,132635.00000,136587.00000
135125.00000,132635.00000,136587.00000
135120.00000,133772.00000,136918.00000
135120.00000,133772.00000,136918.00000
135119.00000,135566.00000,138659.00000
135119.00000,135566.00000,138659.00000
135084.00000,135990.00000,140277.00000
135084.00000,135990.00000,140277.00000
135193.00000,135725.00000,140910.00000
135193.00000,135725.00000,140910.00000
135299.00000,135161.00000,141237.00000
135299.00000,135161.00000,141237.00000
135356.00000,134406.00000,141248.00000
135356.00000,134406.00000,141248.00000
135385.00000,133943.00000,141133.00000
135385.00000,133943.00000,141133.00000
135350.00000,133661.00000,141000.00000
135350.00000,133661.00000,141000.00000
135350.00000,133542.00000,140948.00000
135350.00000,133542.00000,140948.00000
135365.00000,133617.00000,140966.00000
135365.00000,133617.00000,140966.00000
135399.00000,134069.00000,141165.00000
135399.00000,134069.00000,141165.00000
135468.00000,134478.00000,141229.00000
135468.00000,134478.00000,141229.00000
135541.00000,134807.00000,141211.00000
135541.00000,134807.00000,141211.00000
135594.00000,135034.00000,141147.00000
135594.00000,135034.00000,141147.00000
135606.00000,134942.00000,141161.00000
135606.00000,134942.00000,141161.00000
135646.00000,134776.00000,141163.00000
135646.00000,134776.00000,141163.00000
135677.00000,134619.00000,141143.00000
135677.00000,134619.00000,141143.00000
135696.00000,134456.00000,141139.00000
135696.00000,134456.00000,141139.00000
135744.00000,134529.00000,141094.00000
135744.00000,134529.00000,141094.00000
135834.00000,135081.00000,140981.00000
135834.00000,135081.00000,140981.00000
135897.00000,135557.00000,140428.00000
135897.00000,135557.00000,140428.00000
135956.00000,135597.00000,139583.00000
135956.00000,135597.00000,139583.00000
136016.00000,135112.00000,138548.00000
136016.00000,135112.00000,138548.00000
136040.00000,134365.00000,137730.00000
136040.00000,134365.00000,137730.00000
136040.00000,133626.00000,137262.00000
136040.00000,133626.00000,137262.00000
136060.00000,132984.00000,137066.00000
136060.00000,132984.00000,137066.00000
136026.00000,132340.00000,137102.00000
136026.00000,132340.00000,137102.00000
135987.00000,131903.00000,137370.00000
135987.00000,131903.00000,137370.00000
135985.00000,131735.00000,137825.00000
135985.00000,131735.00000,137825.00000
135969.00000,131747.00000,138372.00000
135969.00000,131747.00000,138372.00000
135942.00000,131956.00000,139059.00000
135942.00000,131956.00000,139059.00000
135909.00000,132194.00000,139488.00000
135909.00000,132194.00000,139488.00000
135880.00000,132458.00000,139868.00000
135880.00000,132458.00000,139868.00000
135824.00000,132647.00000,140094.00000
135824.00000,132647.00000,140094.00000
135790.00000,132574.00000,140064.00000
135790.00000,132574.00000,140064.00000
135739.00000,132251.00000,139731.00000
135739.00000,132251.00000,139731.00000
135735.00000,131871.00000,139181.00000
135735.00000,131871.00000,139181.00000
135735.00000,131545.00000,138249.00000
135735.00000,131545.00000,138249.00000
135702.00000,131582.00000,137402.00000
135702.00000,131582.00000,137402.00000
135643.00000,132079.00000,136825.00000
135643.00000,132079.00000,136825.00000
135545.00000,133195.00000,136745.00000
135545.00000,133195.00000,136745.00000
135483.00000,134466.00000,137419.00000
135483.00000,134466.00000,137419.00000
135490.00000,135122.00000,138080.00000
135490.00000,135122.00000,138080.00000
135571.00000,135811.00000,139409.00000
135571.00000,135811.00000,139409.00000
135484.00000,135892.00000,140461.00000
135484.00000,135892.00000,140461.00000
135434.00000,135320.00000,141161.00000
135434.00000,135320.00000,141161.00000
135437.00000,134303.00000,141242.00000
135437.00000,134303.00000,141242.00000
135429.00000,133531.00000,140927.00000
135429.00000,133531.00000,140927.00000
135405.00000,132653.00000,140339.00000
135405.00000,132653.00000,140339.00000
135380.00000,132113.00000,139743.00000
135380.00000,132113.00000,139743.00000
135380.00000,131787.00000,139234.00000
135380.00000,131787.00000,139234.00000
135383.00000,131570.00000,138805.00000
135383.00000,131570.00000,138805.00000
135432.00000,131464.00000,138497.00000
135432.00000,131464.00000,138497.00000
135505.00000,131439.00000,138273.00000
135505.00000,131439.00000,138273.00000
135512.00000,131451.00000,138254.00000
135512.00000,131451.00000,138254.00000
135575.00000,131520.00000,138519.00000
135575.00000,131520.00000,138519.00000
135653.00000,131918.00000,139318.00000
135653.00000,131918.00000,139318.00000
135761.00000,132772.00000,140263.00000
135761.00000,132772.00000,140263.00000
135835.00000,134149.00000,140988.00000
135835.00000,134149.00000,140988.00000
135877.00000,135325.00000,140799.00000
135877.00000,135325.00000,140799.00000
135858.00000,135687.00000,140126.00000
135858.00000,135687.00000,140126.00000
135916.00000,135556.00000,139248.00000
135916.00000,135556.00000,139248.00000
135943.00000,135127.00000,138459.00000
135943.00000,135127.00000,138459.00000
135960.00000,134669.00000,137931.00000
135960.00000,134669.00000,137931.00000
135951.00000,134158.00000,137473.00000
135951.00000,134158.00000,137473.00000
135965.00000,133641.00000,137159.00000
135965.00000,133641.00000,137159.00000
135998.00000,133167.00000,137047.00000
135998.00000,133167.00000,137047.00000
136047.00000,132863.00000,137040.00000
136047.00000,132863.00000,137040.00000
136098.00000,132659.00000,137110.00000
136098.00000,132659.00000,137110.00000
136216.00000,132601.00000,137285.00000
136216.00000,132601.00000,137285.00000
136334.00000,132675.00000,137498.00000
136334.00000,132675.00000,137498.00000
136473.00000,132999.00000,137786.00000
136473.00000,132999.00000,137786.00000
136611.00000,133325.00000,138271.00000
136611.00000,133325.00000,138271.00000
136665.00000,133589.00000,138784.00000
136665.00000,133589.00000,138784.00000
136656.00000,133734.00000,139284.00000
136656.00000,133734.00000,139284.00000
136582.00000,133748.00000,139606.00000
136582.00000,133748.00000,139606.00000
136522.00000,133767.00000,139874.00000
136522.00000,133767.00000,139874.00000
136430.00000,133698.00000,140052.00000
136430.00000,133698.00000,140052.00000
136372.00000,133632.00000,140185.00000
136372.00000,133632.00000,140185.00000
136323.00000,133306.00000,140032.00000
136323.00000,133306.00000,140032.00000
136333.00000,132943.00000,139748.00000
136333.00000,132943.00000,139748.00000
136346.00000,132590.00000,139238.00000
136346.00000,132590.00000,139238.00000
136411.00000,132384.00000,138577.00000
136411.00000,132384.00000,138577.00000
136446.00000,132582.00000,137984.00000
136446.00000,132582.00000,137984.00000
136473.00000,133343.00000,137815.00000
136473.00000,133343.00000,137815.00000
136458.00000,134101.00000,138212.00000
136458.00000,134101.00000,138212.00000
136459.00000,134580.00000,138814.00000
136459.00000,134580.00000,138814.00000
136445.00000,134823.00000,139339.00000
136445.00000,134823.00000,139339.00000
136450.00000,134830.00000,139548.00000
136450.00000,134830.00000,139548.00000
136480.00000,134703.00000,139695.00000
136480.00000,134703.00000,139695.00000
136521.00000,134502.00000,139778.00000
136521.00000,134502.00000,139778.00000
136560.00000,134273.00000,139770.00000
136560.00000,134273.00000,139770.00000
136569.00000,134146.00000,139749.00000
136569.00000,134146.00000,139749.00000
136576.00000,134105.00000,139745.00000
136576.00000,134105.00000,139745.00000
136571.00000,134078.00000,139725.00000
136571.00000,134078.00000,139725.00000
136564.00000,134231.00000,139770.00000
136564.00000,134231.00000,139770.00000
136539.00000,134505.00000,139624.00000
136539.00000,134505.00000,139624.00000
136489.00000,134639.00000,139048.00000
136489.00000,134639.00000,139048.00000
136423.00000,134309.00000,138263.00000
136423.00000,134309.00000,138263.00000
136365.00000,133713.00000,137764.00000
136365.00000,133713.00000,137764.00000
136385.00000,132976.00000,137579.00000
136385.00000,132976.00000,137579.00000
136419.00000,132545.00000,137895.00000
136419.00000,132545.00000,137895.00000
136472.00000,132499.00000,138522.00000
136472.00000,132499.00000,138522.00000
136500.00000,132886.00000,139228.00000
136500.00000,132886.00000,139228.00000
136520.00000,133532.00000,139793.00000
136520.00000,133532.00000,139793.00000
136493.00000,134246.00000,140020.00000
136493.00000,134246.00000,140020.00000
136454.00000,134683.00000,139942.00000
136454.00000,134683.00000,139942.00000
136374.00000,134984.00000,139580.00000
136374.00000,134984.00000,139580.00000
136316.00000,135062.00000,139270.00000
136316.00000,135062.00000,139270.00000
136287.00000,135096.00000,139250.00000
136287.00000,135096.00000,139250.00000
136300.00000,135082.00000,139318.00000
136300.00000,135082.00000,139318.00000
136299.00000,135124.00000,139495.00000
136299.00000,135124.00000,139495.00000
136309.00000,135106.00000,139914.00000
136309.00000,135106.00000,139914.00000
136298.00000,134728.00000,140408.00000
136298.00000,134728.00000,140408.00000
136359.00000,133924.00000,140306.00000
136359.00000,133924.00000,140306.00000
136435.00000,132914.00000,139480.00000
136435.00000,132914.00000,139480.00000
136479.00000,132521.00000,138595.00000
136479.00000,132521.00000,138595.00000
136470.00000,132699.00000,137944.00000
136470.00000,132699.00000,137944.00000
136468.00000,133419.00000,137815.00000
136468.00000,133419.00000,137815.00000
136442.00000,134239.00000,138283.00000
136442.00000,134239.00000,138283.00000
136428.00000,134822.00000,139112.00000
136428.00000,134822.00000,139112.00000
136418.00000,134874.00000,139768.00000
136418.00000,134874.00000,139768.00000
136457.00000,134651.00000,139992.00000
136457.00000,134651.00000,139992.00000
136478.00000,134385.00000,140036.00000
136478.00000,134385.00000,140036.00000
136492.00000,134156.00000,140035.00000
136492.00000,134156.00000,140035.00000
136512.00000,133913.00000,139946.00000
136512.00000,133913.00000,139946.00000
136515.00000,133718.00000,139875.00000
136515.00000,133718.00000,139875.00000
136520.00000,133641.00000,139850.00000
136520.00000,133641.00000,139850.00000
136530.00000,133584.00000,139785.00000
136530.00000,133584.00000,139785.00000
136529.00000,133700.00000,139851.00000
136529.00000,133700.00000,139851.00000
136516.00000,134182.00000,139943.00000
136516.00000,134182.00000,139943.00000
136470.00000,134744.00000,139623.00000
136470.00000,134744.00000,139623.00000
136387.00000,134691.00000,138743.00000
136387.00000,134691.00000,138743.00000
136332.00000,134043.00000,137922.00000
136332.00000,134043.00000,137922.00000
136315.00000,133235.00000,137512.00000
136315.00000,133235.00000,137512.00000
136350.00000,132568.00000,137618.00000
136350.00000,132568.00000,137618.00000
136377.00000,132303.00000,138227.00000
136377.00000,132303.00000,138227.00000
