accelX, accelY, accelZ, gyroX, gyroY, gyroZ, magX, magY, magZ,timestamp
0.5,0.59,0.03,250.04,96.42,-250.08,83640,13800,145432,52157
0.27,0.54,-0.36,250.04,-3.14,-250.08,82400,12496,146376,52182
0.02,0.59,-0.65,241.32,-32.12,-250.08,81264,10968,147080,52207
-0.06,0.8,-0.66,249.98,-36.01,-250.08,80088,9312,147944,52232
0.16,1.07,-0.52,250.04,-77.57,-250.08,78816,7176,148456,52257
-0.01,1.91,-0.43,218.24,-103.37,-250.08,76584,5216,148968,52282
-0.03,2.85,-0.56,92.85,-160.64,-79.51,73952,5912,149248,52307
0.14,1,-0.67,-101.6,-204.46,249.89,70928,7616,149456,52332
0.18,0.19,-1,-165.11,-168.46,239.84,68728,10200,149352,52357
0.31,0.04,-0.78,-151.32,-117.94,148.07,67104,11464,148904,52382
0.28,-0.33,-0.29,28.65,-118.39,25.05,64952,11848,148632,52407
-0.31,0.77,-0.21,-111.38,-213.1,40.14,62040,14040,147704,52432
-0.51,0.49,-0.5,-128.5,-236.08,7.81,58920,15632,146240,52457
-0.49,0.7,-0.77,-103.6,-189.46,-0.94,56640,17248,144808,52482
-0.26,0.06,-0.87,-134.44,-155.72,-48.42,54560,18600,143224,52507
-1.4,0.85,0.08,5.08,-132.45,-200.46,52056,17088,142328,52532
-1.5,1.31,-0.26,-56.45,-179.66,-198.33,49184,16552,140184,52557
-0.98,1.77,-0.54,-85.77,-128.72,-128.69,47888,16384,139184,52582
-0.96,2.23,-0.18,-70.22,-60.98,-22.03,47304,17240,137880,52607
-1.52,2.82,0.25,-27.74,-186.73,244.88,46880,20384,135600,52632
-1.52,1.97,0.06,-27.35,-195.59,249.89,47632,24248,133360,52657
-1.5,0.83,-0.01,-40.35,-185.86,249.89,49048,27072,131608,52682
-1.23,0.66,0,69.68,-159.73,244.33,50072,28608,130720,52707
-1.12,0.8,0.03,72.56,-141.76,187.34,51096,29624,130592,52732
-1.03,1.24,0.13,27.65,-153.11,185.63,52104,31112,129272,52757
-0.78,0.97,0.02,-20.78,-178.32,218.47,53744,32792,127512,52782
-0.82,0.64,-0.25,-82.36,-193.9,223.34,55352,34504,125456,52807
-0.54,0.52,-0.49,-69.66,-120.62,162.75,56576,35608,124240,52832
0.01,0.75,0.02,-77.49,-120.09,100.46,57520,36528,122856,52857
-0.12,1.18,-0.19,-17.18,-126.12,111.5,58856,36960,121944,52882
-0.44,1.49,-0.32,-59.21,-98.67,162.88,61208,37904,120352,52907
-0.9,1.9,-0.18,-116.31,-48.23,225.21,64864,38904,119624,52932
-0.88,1.87,-0.1,20.31,-10.62,249.89,70728,39568,119928,52957
-0.46,1.25,-0.03,-33.47,-8.06,249.89,78464,38608,119016,52982
-0.18,0.54,0.12,-162.78,-38.54,249.89,86456,35632,117000,53007
-0.9,0.34,0.1,-249.94,-139.17,249.89,92808,31208,115536,53032
-0.98,0.75,-0.19,-79.8,-201.16,249.89,98640,24504,116744,53057
-0.96,-0.19,-0.22,-10.6,-225.44,249.89,102712,15160,119456,53082
-1.25,-1.53,-0.46,-80.2,-250.05,249.89,103312,6440,122808,53107
-0.23,-2.08,-1.14,-194.76,-225.92,249.89,102408,2368,125432,53132
0.33,-1.81,-1.14,-249.94,-145.36,249.89,101592,-152,127496,53157
0.03,-1.41,-0.66,-131.66,-157.29,249.89,99808,-2848,129984,53182
0.14,-1.54,-1.51,-112.91,-212.81,192.7,97944,-4048,132464,53207
0.24,-1.2,-1.93,-144.98,-99.85,116.65,97200,-4536,133480,53232
0.19,-0.81,-1.96,-54.57,35.6,91.57,97832,-5776,131904,53257
0.17,-1.07,-0.7,130.25,208.88,115.67,98400,-7920,128608,53282
0.33,-1.56,-0.65,248.59,144.31,52.1,98880,-9544,124784,53307
0.31,-1.37,-0.28,250.04,95.46,-82.22,99848,-9472,120760,53332
0.51,-1.05,-0.4,250.04,54.86,-111.89,100760,-8648,117224,53357
0.51,-0.78,-0.34,250.04,98.99,-116.24,101384,-7080,113792,53382
0.63,-0.85,-0.11,250.04,110.92,-104.29,101656,-4800,110296,53407
0.72,-0.94,-0.23,250.04,65.19,-101.21,101888,-2280,106952,53432
0.72,-0.53,0.64,250.04,141.2,-130.75,101600,2064,103576,53457
0.69,-0.08,1.76,250.04,-49.36,-10.93,101848,6688,102896,53482
0.43,-0.54,1.81,250.04,-198.53,67.34,102880,8480,105840,53507
0.49,-1.22,0.99,250.04,-250.05,56.63,103992,9000,109880,53532
0.53,-1.21,0.58,226.58,-250.05,-9.14,104328,10208,113440,53557
1.01,-0.96,0.72,191.56,-222.72,-76.81,103968,11688,117128,53582
0.89,-0.3,0.54,250.04,-242.29,-121.16,103296,13008,120816,53607
1.16,-0.18,0.22,221.57,-224.51,-124.28,102376,14056,124280,53632
1.37,0.09,0.16,232.5,-181.35,-118.77,101560,13760,126904,53657
1.39,0.14,0.07,241.88,-142.96,-81.41,100760,13008,129032,53682
1.46,-0.07,-0.19,250.04,-74.81,-19.39,100184,11424,130312,53707
1.52,-0.08,-0.05,250.04,-51.43,-34.91,100024,10352,130968,53732
1.64,0.31,0.23,114.22,-36.99,-43.69,99544,10288,131688,53757
1.31,0.36,-0.34,-99.06,-72.71,14.91,99160,11432,131624,53782
1.44,-0.29,-0.54,-135.92,85.43,-22.61,99616,12560,130368,53807
1.52,-0.18,-0.39,-226.57,133.33,-48.44,100320,14808,128192,53832
1.06,-0.06,0.34,-249.94,164.19,-70.19,100816,17280,125200,53857
1.14,0.14,1.21,-230.75,119.05,-97.59,100336,19320,123792,53882
0.93,1.21,0.39,-249.94,-104.46,-47.6,99584,21456,122488,53907
0.93,1.5,-0.21,-249.94,-99.69,73.05,100080,21744,119056,53932
0.97,1.27,0.66,-249.94,-87.38,230.39,101232,19064,118448,53957
0.58,0.08,0.83,-249.94,-167.46,249.89,102024,16432,119208,53982
0.49,-0.48,0.48,-249.94,-250.05,243.62,101920,15072,121768,54007
1.07,-0.6,-0.4,-249.94,-250.05,212.07,101728,13752,124200,54032
1.15,-1.22,-0.72,-249.94,-250.05,185.74,100848,13992,126992,54057
1.06,-1.31,-1.14,-249.94,-250.05,89.4,99288,15272,129064,54082
1.11,-1.29,-1.5,-249.94,-202.77,21.58,98280,17136,129696,54107
1.02,-1.27,-0.93,-125.92,-71.87,-112.13,97168,19376,130296,54132
0.75,-0.7,-0.65,-71.3,-58.54,-167.77,95568,21816,130648,54157
0.75,-0.25,-0.6,-90.98,-71.65,-175.96,93688,24296,130712,54182
0.79,-0.27,-0.78,-109.68,-103.68,-173.02,91280,26728,130632,54207
0.98,-0.46,-1.11,-145.39,-68.6,-211.38,88680,29080,130128,54232
0.76,-0.6,-1.43,-28.09,-80.02,-250.08,85432,31088,130200,54257
0.69,-0.79,-1.84,-30.09,1.1,-250.08,81600,32440,130456,54282
0.16,-0.65,-1.65,125.13,106.59,-250.08,77232,32568,132392,54307
-0.49,0.02,-1.14,234.83,119.39,-250.08,72632,31176,135240,54332
-0.67,0.62,-1.02,154.06,117.14,-250.08,68720,29648,136632,54357
-0.49,1.06,-0.71,69.95,123.87,-250.08,65936,28520,137608,54382
-0.18,1.36,-0.68,-9.04,97.34,-250.08,64656,27632,137576,54407
0.46,1.02,-1.08,-24.65,90.64,-232.6,64072,26808,138728,54432
-0.09,-0.3,-1.14,45.96,163.21,-250.08,63648,25608,139800,54457
-0.19,0.67,-0.94,33.31,194.75,-250.08,63688,24424,140536,54482
0.12,0.99,-0.78,7.47,188.92,-250.08,64408,23784,141096,54507
-0.1,0.28,-0.88,-15.56,189.25,-211.76,65072,23744,141800,54532
-0.61,0.37,-0.92,11.09,249.92,-250.08,65712,22920,142296,54557
-0.62,0.9,-0.64,71.22,249.92,-250.08,66760,21832,143208,54582
-0.65,0.85,-0.46,54.56,249.92,-250.08,67752,20720,144008,54607
-0.51,0.72,-0.68,43.81,232.6,-250.08,68864,19584,144864,54632
-0.75,0.9,-0.65,70.27,228.51,-250.08,70280,18312,145568,54657
-0.7,0.89,-0.68,71.57,212.01,-250.08,71704,17832,145760,54682
-0.48,1.05,-0.52,-27.32,232.13,-225.51,73496,17776,145752,54707
-0.56,1,-0.62,-8.82,215.37,-183.74,75808,17752,145800,54732
-0.37,1.02,-0.94,104.61,249.92,-140.9,78560,16392,145960,54757
-0.14,0.95,-0.65,157.29,249.92,-139.61,82184,14456,145104,54782
-0.38,0.96,-0.35,197.32,249.92,-144.13,85336,13104,144032,54807
-0.11,0.76,-0.68,92.26,249.65,-117.41,88136,12464,142888,54832
-0.1,0.36,-0.86,100.83,249.92,-114.52,91152,12072,140904,54857
-0.18,0.5,-0.49,113.7,249.92,-184.69,93768,12056,138424,54882
-0.27,1.02,-0.22,129.25,249.92,-193.33,95576,12784,136296,54907
-0.1,1.27,-0.23,7.78,197.73,-125.79,97168,13288,134408,54932
-0.05,1.57,-0.43,51.73,148.3,-59.66,98136,13416,132760,54957
0.28,0.34,-1.27,18.22,224.82,-20.81,99632,13072,129984,54982
0.24,0.17,-0.71,249.36,249.92,-130.95,100768,13488,126784,55007
0.13,0.92,-0.59,215.6,249.92,-189.04,101496,15160,124024,55032
0.28,1.18,-0.63,87.33,233.59,-165.83,101584,16720,120976,55057
0.45,0.2,-0.88,152.94,249.92,-107.76,101248,17760,117968,55082
0.48,0.18,-0.93,250.04,249.92,-242.55,99952,20856,116040,55107
0.16,0.34,-0.77,250.04,249.92,-250.08,97392,25176,115464,55132
0.17,0.44,-0.83,250.04,246.05,-250.08,93352,29824,115568,55157
-0.21,0.6,-0.51,250.04,139.14,-250.08,88336,33552,117896,55182
0.11,0.97,-0.51,250.04,54.86,-250.08,83432,35808,120120,55207
0.25,0.84,-0.6,38.64,-12.69,-250.08,79424,37264,119872,55232
0.14,0.63,-0.91,-94.69,-47.24,-250.08,75568,38168,119856,55257
-0.18,0.5,-1.18,0.23,-32.03,-250.08,71448,38152,119664,55282
-0.08,0.91,-0.95,-36.69,83.14,-250.08,68144,38136,119664,55307
-0.33,1.02,-0.89,-44.27,85.2,-230.68,65344,37728,119096,55332
-0.39,1.09,-0.85,-136.52,84.9,-187.24,63256,37240,118056,55357
-0.29,1.28,-1.18,-47.71,114.53,-144.65,62232,36848,118336,55382
-0.16,0.48,-0.99,-19.25,249.92,-24.15,62120,36520,119104,55407
-0.52,0.02,-0.82,-25.47,249.92,-80.29,61392,36112,120680,55432
-0.28,0.23,-0.73,4.52,249.92,-151.15,60232,35392,122272,55457
-0.39,0.17,-0.71,1.27,249.92,-197.21,58528,34056,124760,55482
-0.7,0.91,-0.69,26.72,249.92,-250.08,57224,32408,127456,55507
-0.57,1.18,-0.65,-25.82,249.92,-215.96,57008,31608,129392,55532
-0.85,1.06,-0.73,-12.65,249.92,-176.35,57456,30720,130664,55557
-0.78,0.85,-0.74,-57.61,249.92,-152.84,58296,30512,132384,55582
-0.62,0.51,-0.57,2.52,249.92,-148.94,59768,29776,134152,55607
-0.73,0.48,-0.39,20.8,249.92,-164.83,61064,29336,136040,55632
-0.89,0.44,-0.43,-18.14,249.92,-193.53,62024,28872,137024,55657
-0.95,0.61,-0.26,24.24,249.92,-228.71,63104,27552,138720,55682
-0.85,0.89,-0.1,45.03,249.92,-233.86,63960,26800,139824,55707
-0.86,0.89,-0.31,39.41,249.92,-173.37,65400,26000,141144,55732
-0.9,0.61,-0.29,124.59,249.92,-189.94,66672,23856,143096,55757
-0.79,0.53,-0.41,190.21,249.92,-246.04,68240,20128,145272,55782
-1.19,0.77,-0.52,250.04,249.92,-250.08,70456,16176,146976,55807
-1.15,1.3,0.04,190.99,239.43,-250.08,72688,13576,148008,55832
-0.88,1.78,0.05,45.83,124.21,-250.08,73432,13264,147824,55857
-0.75,1.66,-0.55,-17.09,33.36,-132.13,74176,13776,147440,55882
-0.47,0.87,-1.51,-91.84,114.17,-32.33,77080,14272,147440,55907
-0.87,0.57,-0.94,-3.44,249.92,-87.11,81264,14496,146512,55932
-0.55,0.78,-0.47,-27.1,249.92,-95.44,85728,15024,144416,55957
-0.43,0.87,0.04,-33.17,249.92,-95.58,89104,16112,142096,55982
-0.23,1.21,0.1,-98.79,228.32,-62.78,90992,18544,139616,56007
0.34,0.75,-1.08,-248.17,228.53,11.66,93264,20728,136520,56032
0.02,0.44,-0.49,-17.02,249.92,-38.35,95808,21232,133144,56057
-0.25,0.93,0.17,-6.18,249.92,-86.28,97560,22096,129344,56082
-0.09,1.87,0.53,-128.67,236.05,-51.51,98576,22752,126280,56107
0.12,1.3,-0.2,-199.39,140.57,41.11,99784,23000,121912,56132
0.17,0.75,-0.35,-249.94,249.92,21.42,100384,22904,116936,56157
-0.06,1.19,0.07,-200.02,249.92,53.54,100568,21680,111832,56182
0.03,0.58,0.25,-91.33,249.92,79.09,99960,20480,106872,56207
0,0.56,0.67,-81.1,249.92,54.51,98584,19384,102632,56232
0.05,0.32,0.74,-111.04,249.92,-26.73,96632,18856,99072,56257
-0.17,0.67,0.99,-144.49,249.92,-77.81,94280,18400,95712,56282
-0.15,1.23,1.04,-149.26,199.36,-86.59,92600,17120,93424,56307
0,1.12,0.63,-248.05,149.79,-21.32,91064,15064,91048,56332
-0.27,0.26,0.76,-114.04,176.39,-45.91,88816,14208,89408,56357
-0.2,1.07,0.93,7.12,173.55,-63.48,86528,14624,88288,56382
0.17,0.23,0.78,41.54,160.01,-39.7,84296,15024,87128,56407
-0.38,0.37,1.12,-78.26,161.01,-107.7,82152,13904,86176,56432
-0.44,0.95,1.34,-208.94,72.24,-91.52,81040,11760,85344,56457
-0.46,0.85,1.02,-199.69,38.57,-58.46,80496,9152,84744,56482
-0.4,0.78,0.88,-180.83,44.58,-39.93,79856,7072,84760,56507
-0.35,0.89,0.82,-162.46,43.08,-20.28,79400,4464,84688,56532
-0.27,0.99,0.56,-191.06,29.46,24.86,78096,64,84992,56557
-0.77,-0.12,0.93,-249.94,158.32,115.03,75656,-4656,86392,56582
-0.91,-0.47,1.21,-249.94,162.66,76.68,73456,-10304,89104,56607
-0.67,-0.7,1.39,-249.94,103.71,-0.1,73112,-18608,96560,56632
-0.69,-0.68,0.93,-249.94,77.56,-58.49,74256,-25400,116200,56657
-0.99,-1.92,1.65,-249.94,167.27,-117.27,76656,-11856,142208,56682
-0.78,-0.84,1.86,-249.94,-91.98,-197.95,75336,7304,148784,56707
-0.9,0.32,0.39,-249.94,-250.05,-214.23,70240,22328,145512,56732
-0.9,1.41,-0.65,-249.94,-250.05,-159.25,67400,29544,139776,56757
-0.89,0.74,-1.75,-249.94,-10.57,142.24,68472,33880,135104,56782
-0.46,-0.29,-1.46,-249.94,66.84,141.73,70616,36664,131000,56807
-0.62,-1.09,-1,-249.94,132.65,42.33,70912,38000,127656,56832
-0.86,-0.76,-0.44,-102.6,166.28,-135.64,69184,38320,126744,56857
-0.98,1.4,-0.02,-249.94,75.39,-151.86,67280,38872,123464,56882
-0.98,1.16,-0.62,-249.94,-22.69,-28.5,66808,39320,119120,56907
-0.68,0.27,-1.03,-249.94,56.98,48.93,67064,39592,116336,56932
-0.63,-0.93,-0.74,-84.92,143.06,-49.84,64920,39032,115616,56957
-1.11,0.04,-1.2,-71.09,143.4,-205.48,62480,38216,115600,56982
-1.51,0.83,-0.6,10.32,249.92,-57.46,61400,37912,116896,57007
-1.05,0.07,0.1,-1.08,249.92,-65.33,60304,37328,118048,57032
-1.08,-0.07,-0.45,-30.67,156.73,-117.57,58576,36456,118192,57057
-1.01,0.61,-0.99,-101.01,194.16,-142.51,57336,35496,120168,57082
-1.59,1.05,-0.99,48.14,249.92,-60.11,57320,34896,123376,57107
-1.47,0.71,-0.72,98.94,249.92,-46.46,58784,33888,127696,57132
-1.15,0.31,-0.8,119.18,249.92,-65.07,60328,32560,131200,57157
-1.2,0.18,-0.77,89.63,249.92,-130.1,62280,30648,135048,57182
-0.96,0.61,-0.78,127.06,249.92,-202.97,65256,28784,138376,57207
-0.98,0.49,-0.32,87.32,249.92,-199.94,68616,27712,140176,57232
-0.62,0.25,-0.41,17.15,249.92,-225.08,71432,27280,140752,57257
-0.46,0.37,-0.38,92.72,249.92,-250.08,73848,26616,141272,57282
-0.3,0.47,0.32,71.76,249.92,-250.08,75448,26496,141360,57307
-0.14,0.63,0.26,149.69,249.92,-250.08,75808,26104,141792,57332
-0.22,0.82,0.18,98.27,200.83,-250.08,75008,25808,142728,57357
-0.04,0.84,-0.04,106.99,145.8,-250.08,73872,25360,142984,57382
-0.27,0.68,-0.11,93.66,102.49,-250.08,72488,24704,144008,57407
-0.84,0.37,-0.65,78.49,73.66,-250.08,70616,24144,144592,57432
-1.04,0.68,-0.5,91.92,122.68,-250.08,69240,22640,145816,57457
-1.27,1.43,-0.23,113.91,129.08,-250.08,68328,21264,146336,57482
-1.23,2.05,-0.26,32.57,104.15,-250.08,67904,21392,146896,57507
-0.62,1.53,-0.59,-23.04,99.84,-145.78,68216,21216,146856,57532
-0.57,0.97,-1.13,-22.78,146.55,-108.85,69768,21472,147112,57557
-0.99,0.68,-1.18,12.3,244.52,-138.25,72800,20888,147392,57582
-0.83,1,-1.18,9.11,249.92,-179.16,77480,19904,147288,57607
-1.11,1.9,0.22,-36.92,249.92,-156.91,82056,20840,145896,57632
-0.77,1.45,-0.3,-242.76,249.92,-31.93,85248,23304,143480,57657
-0.66,0.42,-1.07,-70.25,249.92,-32.56,88728,23904,140912,57682
-0.7,0.09,-0.36,115.82,249.92,-170.16,91288,23568,139480,57707
-1.09,1.51,-0.46,-39.69,249.92,-250.08,92160,25664,137192,57732
-0.85,1.04,-0.88,50.94,249.92,-205.99,93288,26744,134368,57757
-0.87,0.86,-0.38,138.66,249.92,-239.59,93880,28328,132240,57782
-0.86,0.64,0,122.49,249.92,-250.08,92672,31040,129848,57807
-0.85,1.22,0.68,7.57,240.23,-250.08,90400,33656,128656,57832
-0.35,1.38,-0.27,-181.52,4.45,-168.51,88360,35624,126560,57857
-0.38,0.66,-0.71,-140.88,16.46,-143.33,86504,37264,124288,57882
-1.23,0.23,-0.23,-78.4,63,-199.58,83376,38848,123896,57907
-0.89,0.3,-0.13,17.69,66.59,-250.08,78776,40192,124576,57932
-1.07,1.04,-0.03,-48.27,-34.77,-250.08,74096,40928,124056,57957
-1.39,1.19,0.2,-43.8,-76.91,-250.08,69520,41096,123600,57982
-1.61,1.4,0.26,25.17,-129.42,-246.97,65720,40856,123176,58007
-1.46,1.11,0.18,-124.93,-206.93,-166.01,62856,40896,119640,58032
-1.49,0.39,0.18,-55.93,-250.05,-147.12,60360,40392,117376,58057
-1.5,0.47,-0.26,86.96,-233.09,-177.47,57552,39248,118200,58082
-1.62,0.57,-0.03,221.78,-209.2,-169.53,54920,37808,119872,58107
-1.82,0.73,0.61,158.65,-214.3,-133.84,53136,37048,119552,58132
-1.8,0.92,0.15,16.9,-250.05,36.05,53016,36832,117080,58157
-1.57,0.77,-0.15,-70.32,-250.05,97.99,54456,37624,113776,58182
-1.28,0.01,-0.19,-25.36,-250.05,105.99,55752,38176,111632,58207
-1.03,0.24,-0.21,-14.31,-215,58.03,56816,38784,111536,58232
-0.95,0.58,0.27,180.74,-151.45,76.48,58552,39760,114680,58257
-1.05,0.85,0.49,250.04,-76.79,95.89,59928,39936,119968,58282
-0.99,1.41,-0.44,250.04,-51.79,132.28,61968,38952,127704,58307
-0.82,1.34,-1.05,250.04,119.58,183.49,65856,36304,135000,58332
-0.87,0.7,-0.91,250.04,208.56,170.87,70176,31448,141408,58357
-1.21,0.29,-0.07,250.04,249.92,-111.92,74176,22952,147000,58382
-0.9,0.2,0.48,250.04,240.17,-122.61,76568,16064,149728,58407
-0.76,-0.76,-0.25,250.04,76.17,-175.42,76656,11976,150488,58432
-1.38,-0.04,-1.35,250.04,38.08,-250.08,78224,8592,150560,58457
-0.84,1.33,-0.49,6.46,206.71,54.43,81328,8280,149832,58482
-0.79,-0.48,-0.19,5.34,63.42,127.54,82112,6904,149752,58507
-0.44,-0.48,-1.14,228.3,-7.59,-52.38,82296,3080,149480,58532
-0.47,0.47,-1.36,250.04,12.26,-71.39,82976,336,148760,58557
-0.34,0.82,-1.33,-4.76,123.69,58.91,84368,-88,147992,58582
-0.53,1.04,-0.68,137.2,59.88,150.58,84528,-3296,147288,58607
-0.2,0.49,-0.6,228.37,43.33,192.05,83856,-7152,145848,58632
-0.55,0.1,-0.43,150.69,37.77,245.57,81680,-8152,146424,58657
-0.66,-0.07,-0.35,-187.2,-41.33,249.89,78192,-4720,148464,58682
-0.78,0.19,-0.59,-249.94,-187.06,248.53,74008,-1536,150288,58707
-1.12,0.18,-0.81,-133.78,-232.71,249.89,69408,112,150736,58732
-1.15,-0.03,-0.9,-31.16,-245.92,227.65,64976,1248,150560,58757
-0.91,0.05,-0.24,-45.5,-250.05,145.78,60208,1008,148872,58782
-1.23,1.1,-0.72,89.72,-250.05,187.64,55552,808,147104,58807
-1.8,0.77,-0.34,146.77,-241.79,249.89,51672,808,144696,58832
-1.35,-0.18,-0.24,179.88,-210.93,249.89,48536,1304,141984,58857
-2.21,0,0.01,134.5,-250.05,186.08,45472,2568,139328,58882
-1.98,0.98,-0.33,62.06,-213.07,102.81,43216,4312,136984,58907
-1.59,0.54,-0.48,-19.83,-135.56,144.23,42032,5688,135304,58932
-0.42,0.53,-0.61,40.42,-108.16,134.69,41152,6936,133968,58957
-1.11,1.11,-0.13,153.63,-101.5,166.3,40584,8728,132512,58982
-1.35,0.14,-0.49,78.7,-119.63,146.96,39880,10160,131064,59007
-0.91,0.6,-0.76,8.56,-76.32,87.26,39648,11792,130312,59032
-0.64,1.29,-0.92,1.19,10.1,104.35,40320,13224,130672,59057
-1.36,1.35,-0.17,55.81,67.51,175.43,41280,15536,131744,59082
-1.25,0.8,-0.21,57.01,31.04,204.2,42304,17496,132256,59107
-0.85,0.99,-0.36,14.95,39.73,182.94,43416,19624,132896,59132
-0.49,1.08,-0.39,-17.89,39.77,185.42,45032,22016,133008,59157
-0.66,1.55,-0.61,-104.29,34.48,226.43,47056,25288,132728,59182
-0.81,1.5,-0.54,-68.32,30.44,249.89,49816,28744,132296,59207
-0.48,1.04,-0.27,-14.22,51.44,249.89,52960,30920,132920,59232
-0.79,1.34,-0.06,-31.93,60.74,249.89,56352,33168,132848,59257
-0.92,1.4,-0.08,-49.23,49.79,249.89,60664,35216,132248,59282
-0.4,1.05,-0.12,-86.42,60.57,249.89,65504,37136,130776,59307
-0.43,0.35,-0.07,-249.94,42.72,249.89,69648,39192,127728,59332
0.14,0.38,-0.53,-249.94,62.89,249.89,73664,40304,123256,59357
0.57,0.61,-0.34,-249.94,106.57,249.89,78296,40280,119568,59382
0.61,0.4,0.04,-242.63,110.91,249.89,82840,39144,115656,59407
0,0.88,0.22,-244.96,-56.66,249.89,87168,37080,112400,59432
0.54,0.88,0.11,-189.95,-87.36,249.89,92080,33712,111032,59457
0.64,0.22,0.12,-197.81,-131.27,249.89,97040,28856,110696,59482
0.51,-0.07,-0.06,-221.1,-182.68,249.89,101304,23008,110824,59507
0.33,-0.11,-0.08,-249.94,-219.69,249.89,104312,16040,112224,59532
0.08,-0.12,-0.56,-249.94,-250.05,249.89,105784,9368,115344,59557
-0.04,-0.22,-0.49,-249.94,-250.05,249.89,105584,2920,120224,59582
0.02,-0.9,-0.7,-249.94,-250.05,249.89,103160,-104,128696,59607
-0.7,-0.68,-0.9,-249.94,-250.05,249.89,98864,1640,137392,59632
-0.84,0.13,-1.46,-249.94,-250.05,141.15,93888,3856,142576,59657
-0.99,-0.19,-1.15,-249.94,-250.05,135.38,89224,5696,146432,59682
-0.79,-0.63,-1.25,-249.94,-250.05,84.36,83792,9648,149184,59707
-0.93,-0.36,-1.5,-249.94,-250.05,-24.7,78096,13448,150184,59732
-0.89,0.21,-2.35,-139.99,-177.72,-83.57,74960,15536,149976,59757
-0.7,-0.68,-1.21,-40.64,-22.93,-74.21,74272,15976,149984,59782
-1.04,-1.05,-0.44,122.87,-11.02,-210.81,73032,14328,150760,59807
-1.32,-0.33,-0.4,124.65,-66.22,-250.08,70888,14088,150720,59832
-1.42,0.22,-0.25,-30.36,-109.96,-250.08,68032,14936,150104,59857
-1.31,-0.86,-0.45,-133.24,-161.68,-250.08,64784,16288,149360,59882
-1.6,-1.05,-0.6,-132.74,-144.24,-250.08,61320,16696,148440,59907
-1.83,-0.82,-0.59,-110.09,-105.62,-250.08,58400,16376,147216,59932
-2.15,-0.31,-0.62,-141.96,-72.39,-250.08,56056,15792,146120,59957
-1.83,0.13,-0.83,-226.27,-19.15,-250.08,54424,16216,145008,59982
-1.32,0.11,-0.99,-249.94,37.57,-250.08,53752,18080,143912,60007
-0.89,-0.13,-1.1,-249.94,93.2,-238.02,53816,21304,142104,60032
-0.65,-0.46,-1.31,-249.94,149.83,-189.71,54544,25056,139848,60057
-0.72,-0.46,-1.31,-249.94,249.92,-145.82,56104,28440,137584,60082
-0.83,-0.44,-1.26,-249.94,249.92,-111.89,57800,31816,134872,60107
-1,-0.22,-1.15,-249.94,249.92,-93.68,59400,33984,132192,60132
-0.87,0.14,-0.96,-249.94,249.92,-88.83,61080,35088,130568,60157
-0.2,0.76,-0.51,-249.94,249.92,-6.37,63056,36576,128456,60182
-0.41,0.66,-0.4,-234.7,249.92,81.9,65616,37880,126216,60207
0.18,0.04,-0.66,-249.94,249.92,84.57,67648,38928,123456,60232
0.34,0.42,-0.43,-199.36,249.92,38.34,68648,39176,120792,60257
0.56,0.78,-0.28,-219.48,249.92,13.4,69856,39368,118984,60282
0.54,0.52,-0.55,-131.51,249.92,104.13,71536,39528,117576,60307
0.22,0.81,-0.34,23.38,249.92,78.01,72904,39504,118648,60332
0.34,1.19,-0.26,250.04,249.92,54.78,74520,38472,122840,60357
0.28,1.31,-0.61,250.04,249.92,72.9,77472,37736,125168,60382
0.12,0.32,0,250.04,249.92,72.76,80120,36064,127600,60407
0.23,0.18,-0.28,250.04,249.92,-43.4,81832,33992,130576,60432
0.17,0.54,0.22,250.04,249.92,-144.36,82736,32024,133128,60457
0.02,0.98,-0.28,250.04,249.92,-180.73,84024,30480,134920,60482
-0.36,1.01,-0.07,250.04,249.92,-216.02,85256,28504,136560,60507
-0.58,1.22,-0.01,250.04,249.92,-223.36,86184,26384,138176,60532
-0.53,1.28,-0.1,250.04,249.92,-220.28,87480,24464,138992,60557
-0.61,1.27,-0.39,218.95,249.92,-199.13,89216,24168,137760,60582
-0.74,1.31,-0.26,83.8,249.92,-115.82,91920,24304,135352,60607
-0.88,1.35,0.04,104.73,249.92,-84.73,94688,23648,132680,60632
-0.75,1.6,0.09,138.98,249.92,-54.88,96872,22800,129304,60657
-0.84,1.68,-0.13,-8.36,249.92,57.65,99488,21848,124488,60682
-0.97,1.13,-0.3,-148.65,249.92,128.16,101312,20496,117800,60707
-0.7,1.03,0.41,-148.3,249.92,112.18,101424,18640,110856,60732
-0.96,1.08,0.68,-55.99,249.92,119.9,100032,16808,104904,60757
-0.79,1.21,0.71,174.76,249.92,140.31,97584,16056,99824,60782
-0.64,1.33,0.84,169.91,249.92,174.64,94040,14248,94616,60807
-0.21,0.14,0.96,-66.22,249.92,115.05,89008,12448,90208,60832
-0.37,0.37,1.34,-102.82,249.92,46.32,83560,11032,87544,60857
-0.43,0.81,1.71,-72.99,249.92,15.53,79608,9952,85824,60882
-0.04,1.3,1.69,-140.26,220.88,35.04,77792,8352,85728,60907
0.1,0.65,0.87,-23.88,56.53,74.9,76856,7864,85296,60932
0.36,1.05,0.65,-77.82,50.01,45.89,76096,6944,85264,60957
0.39,1.62,0.53,-50.88,50.5,103.06,75152,6328,85176,60982
0.3,1.89,0.43,-77.67,69.77,213.03,73520,5920,85344,61007
-0.19,1.12,0.49,22.37,153.79,249.89,71104,6464,85264,61032
