W,I,J,K,LAT,LON,ALT_MSL_GPS,ALT_BARO,BARO,ACCELX,ACCELY,ACCELZ,GYROX,GYROY,GYROZ,MAGX,MAGY,MAGZ,Time
0.01,-0.03,-1.00,0.00,279359776.0000,-513651328.0000,-581734400.00,121.20,998.77,-0.01,0.00,1.02,-0.02,0.02,-0.00,130910.00,128545.00,130495.00,3312023773
0.01,-0.03,-1.00,0.00,279359776.0000,-513651328.0000,-581734400.00,121.20,998.77,-0.01,0.00,1.02,0.03,-0.03,-0.00,130919.00,128547.00,130505.00,3312023773
0.01,-0.03,-1.00,0.00,279359776.0000,-513651328.0000,-581734400.00,121.20,998.77,-0.01,0.00,1.02,0.02,0.03,-0.00,130914.00,128550.00,130499.00,3312023773
0.01,-0.03,-1.00,0.00,279359776.0000,-513651328.0000,-581734400.00,121.34,998.76,-0.01,0.00,1.02,-0.03,-0.01,-0.00,130919.00,128552.00,130515.00,3312023773
0.01,-0.03,-1.00,0.00,279359776.0000,-513651328.0000,-581734400.00,121.34,998.76,-0.01,0.00,1.02,0.08,-0.03,0.03,130914.00,128559.00,130500.00,3312023773
0.01,-0.03,-1.00,0.00,279359776.0000,-513651328.0000,-581734400.00,121.67,998.72,-0.01,0.00,1.02,0.11,0.03,-0.02,130924.00,128551.00,130492.00,3312023773
0.01,-0.03,-1.00,0.00,279359776.0000,-513651328.0000,-581734400.00,121.67,998.72,-0.01,-0.00,1.02,-0.05,-0.00,0.01,130921.00,128552.00,130496.00,3312023773
0.01,-0.03,-1.00,0.00,279359776.0000,-513651328.0000,-581734400.00,121.67,998.72,-0.01,0.00,1.02,0.02,0.06,0.04,130916.00,128561.00,130503.00,3312023773
0.01,-0.03,-1.00,0.00,279359776.0000,-513651328.0000,-581734400.00,121.24,998.77,-0.01,0.00,1.02,0.08,0.00,0.02,130922.00,128555.00,130513.00,3312023773
0.01,-0.03,-1.00,0.00,279359776.0000,-513651328.0000,-581734400.00,121.24,998.77,-0.01,0.00,1.02,0.01,0.03,0.04,130925.00,128548.00,130507.00,3312023773
0.01,-0.03,-1.00,0.00,279359776.0000,-513651328.0000,-581734400.00,121.44,998.75,-0.01,0.00,1.02,-0.04,0.03,-0.02,130925.00,128555.00,130500.00,3312023773
0.01,-0.04,-1.00,0.00,279359776.0000,-513651328.0000,-581734400.00,121.44,998.75,-0.01,0.00,1.02,-0.06,-0.00,0.03,130915.00,128556.00,130499.00,3312023773
0.01,-0.04,-1.00,0.00,279359776.0000,-513651328.0000,-581734400.00,121.44,998.75,-0.01,0.00,1.02,0.01,0.04,0.03,130919.00,128549.00,130516.00,3312023773
0.01,-0.04,-1.00,0.00,279359776.0000,-513651328.0000,-581734400.00,121.36,998.76,-0.01,0.00,1.02,-0.05,0.03,-0.03,130921.00,128556.00,130517.00,3312023773
0.01,-0.04,-1.00,0.00,279359776.0000,-513651328.0000,-581734400.00,121.36,998.76,-0.01,0.00,1.02,0.07,0.04,-0.02,130917.00,128557.00,130511.00,3312023773
0.01,-0.04,-1.00,0.00,279359776.0000,-513651328.0000,-581734400.00,121.36,998.76,-0.01,0.00,1.02,-0.00,0.00,-0.02,130922.00,128551.00,130511.00,3312023773
0.01,-0.04,-1.00,0.00,279359776.0000,-513651328.0000,-581734400.00,121.75,998.71,-0.01,0.00,1.02,0.08,-0.02,-0.02,130917.00,128560.00,130504.00,3312023773
0.01,-0.04,-1.00,0.00,279359776.0000,-513651328.0000,-581734400.00,121.75,998.71,-0.01,0.00,1.02,0.01,0.03,-0.02,130913.00,128549.00,130508.00,3312023773
0.01,-0.04,-1.00,0.00,279359776.0000,-513651328.0000,-581734400.00,121.69,998.72,-0.01,0.00,1.02,0.05,0.02,-0.00,130913.00,128559.00,130506.00,3312023773
0.01,-0.04,-1.00,0.00,279359776.0000,-513651328.0000,-581734400.00,121.69,998.72,-0.01,0.00,1.02,-0.01,-0.04,-0.00,130918.00,128555.00,130506.00,3312023773
0.01,-0.04,-1.00,0.00,279359776.0000,-513651328.0000,-581734400.00,121.69,998.72,-0.01,0.00,1.02,-0.06,-0.02,0.04,130919.00,128548.00,130507.00,3312023773
0.01,-0.04,-1.00,0.00,279359776.0000,-513651328.0000,-581734400.00,121.68,998.72,-0.01,0.00,1.02,-0.00,-0.02,-0.03,130912.00,128548.00,130517.00,3312023773
0.01,-0.04,-1.00,0.00,279359776.0000,-513651328.0000,-581734400.00,121.68,998.72,-0.01,0.00,1.02,0.16,-0.04,0.02,130921.00,128563.00,130521.00,3312023773
0.01,-0.04,-1.00,0.00,279359776.0000,-513651328.0000,-581734400.00,121.06,998.79,-0.01,0.00,1.02,0.05,-0.00,0.01,130916.00,128561.00,130526.00,3312023773
0.01,-0.04,-1.00,0.00,279359776.0000,-513651328.0000,-581734400.00,121.06,998.79,-0.01,0.00,1.02,-0.02,-0.03,0.01,130921.00,128553.00,130521.00,3312023773
0.01,-0.04,-1.00,0.00,279359776.0000,-513651328.0000,-581734400.00,121.06,998.79,-0.01,0.00,1.02,0.08,-0.08,0.04,130914.00,128565.00,130516.00,3312023773
0.01,-0.04,-1.00,0.00,279359776.0000,-513651328.0000,-581734400.00,121.68,998.72,-0.01,0.00,1.02,-0.02,-0.02,-0.03,130923.00,128552.00,130517.00,3312023773
0.01,-0.04,-1.00,0.00,279359776.0000,-513651328.0000,-581734400.00,121.68,998.72,-0.01,0.00,1.02,-0.03,0.02,-0.03,130916.00,128556.00,130512.00,3312023773
0.01,-0.04,-1.00,0.00,279359776.0000,-513651328.0000,-581734400.00,121.48,998.74,-0.01,0.00,1.02,0.01,0.02,-0.00,130916.00,128552.00,130504.00,3312023773
0.01,-0.04,-1.00,0.00,279359776.0000,-513651328.0000,-581734400.00,121.48,998.74,-0.01,0.00,1.02,-0.05,0.00,-0.00,130917.00,128550.00,130509.00,3312023773
0.01,-0.04,-1.00,0.00,279359776.0000,-513651328.0000,-581734400.00,121.48,998.74,-0.01,0.00,1.02,0.04,0.06,-0.02,130922.00,128556.00,130525.00,3312023773
0.01,-0.04,-1.00,0.00,279359776.0000,-513651328.0000,-581734400.00,121.61,998.73,-0.01,0.00,1.02,0.12,0.03,-0.00,130922.00,128560.00,130515.00,3312023773
0.01,-0.04,-1.00,0.00,279359776.0000,-513651328.0000,-581734400.00,121.61,998.73,-0.01,0.00,1.02,0.04,0.02,-0.02,130921.00,128553.00,130521.00,3312023773
0.01,-0.04,-1.00,0.00,279359776.0000,-513651328.0000,-581734400.00,121.61,998.73,-0.01,-0.00,1.02,-0.08,0.05,-0.00,130918.00,128556.00,130512.00,3312023773
0.01,-0.04,-1.00,0.00,279359776.0000,-513651328.0000,-581734400.00,121.36,998.76,-0.01,0.00,1.02,-0.01,-0.04,0.03,130912.00,128557.00,130513.00,3312023773
0.01,-0.04,-1.00,0.00,279359776.0000,-513651328.0000,-581734400.00,121.36,998.76,-0.01,0.00,1.01,0.02,0.05,-0.03,130917.00,128555.00,130498.00,3312023773
0.01,-0.04,-1.00,0.00,279359776.0000,-513651328.0000,-581734400.00,121.52,998.74,-0.01,0.00,1.02,-0.10,0.03,-0.02,130912.00,128559.00,130513.00,3312023773
0.01,-0.04,-1.00,0.00,279359776.0000,-513651328.0000,-581734400.00,121.52,998.74,-0.01,0.00,1.02,0.05,0.01,0.01,130916.00,128553.00,130508.00,3312023773
0.01,-0.04,-1.00,0.00,279359776.0000,-513651328.0000,-581734400.00,121.52,998.74,-0.01,0.00,1.02,0.08,-0.03,0.01,130912.00,128558.00,130512.00,3312023773
0.01,-0.04,-1.00,0.00,279359776.0000,-513651328.0000,-581734400.00,121.02,998.80,-0.01,0.00,1.02,0.07,0.03,-0.01,130913.00,128550.00,130523.00,3312023773
0.01,-0.04,-1.00,0.00,279359776.0000,-513651328.0000,-581734400.00,121.02,998.80,-0.01,0.00,1.02,0.02,-0.02,-0.01,130920.00,128561.00,130516.00,3312023773
0.01,-0.04,-1.00,0.00,279359776.0000,-513651328.0000,-581734400.00,121.67,998.72,-0.01,0.00,1.02,0.06,0.06,-0.00,130919.00,128562.00,130512.00,3312023773
