accelX, accelY, accelZ, gyroX, gyroY, gyroZ, magX, magY, magZ
0.33,-0.02,-1.05,3.59,3.68,1.46,94144.00,-2504.00,143520.00,26482
0.32,-0.01,-1.03,5.06,4.78,-0.15,94192.00,-2424.00,143440.00,26507
0.33,0.01,-1.02,6.20,3.93,-0.83,94280.00,-2616.00,143304.00,26532
0.32,-0.00,-1.02,5.51,4.51,1.69,94304.00,-2552.00,143536.00,26557
0.32,-0.04,-1.00,1.19,2.75,0.88,94312.00,-2528.00,143256.00,26582
0.32,-0.02,-1.01,2.22,1.63,0.28,94280.00,-2640.00,143136.00,26607
0.34,-0.05,-1.02,1.23,2.30,2.59,94376.00,-2744.00,143152.00,26632
0.34,-0.08,-1.01,1.70,1.64,0.90,94376.00,-2664.00,143128.00,26657
0.34,-0.04,-1.03,2.19,-0.94,-1.28,94432.00,-2912.00,142928.00,26682
0.31,-0.09,-1.05,3.86,-0.73,1.25,94408.00,-2744.00,142896.00,26707
0.32,-0.20,-1.08,2.27,2.62,-3.50,94616.00,-2696.00,142936.00,26732
0.34,-0.19,-1.09,7.58,8.16,-15.15,94776.00,-2784.00,142768.00,26757
0.35,-0.08,-1.08,7.91,4.73,-18.30,94800.00,-2832.00,142480.00,26782
0.30,-0.24,-1.09,21.37,5.57,-16.92,95120.00,-2848.00,142384.00,26807
0.33,-0.25,-1.09,44.84,11.22,-27.50,95568.00,-3328.00,141976.00,26832
0.31,-0.22,-1.21,61.40,22.99,-37.13,96104.00,-3312.00,141456.00,26857
0.36,-0.24,-1.17,46.90,34.81,-42.34,96784.00,-3504.00,140448.00,26882
0.39,-0.12,-0.97,51.79,37.54,-65.96,97656.00,-3280.00,139592.00,26907
0.50,-0.00,-1.00,133.28,28.25,-74.72,98456.00,-3832.00,138728.00,26932
0.96,-0.09,-1.30,100.12,44.26,-64.80,99248.00,-3488.00,137792.00,26957
0.33,-0.11,-0.76,40.99,20.50,-56.33,99528.00,-3104.00,137792.00,26982
0.40,-0.23,-0.80,-7.61,-34.14,-55.09,99648.00,-2416.00,137968.00,27007
0.36,-0.18,-0.85,-59.62,-45.23,-65.33,99424.00,-880.00,138720.00,27033
0.29,-0.05,-0.93,-48.95,-58.95,-78.78,99152.00,392.00,139352.00,27057
0.42,0.10,-1.02,-43.22,-66.06,-68.52,98744.00,1432.00,140336.00,27082
0.46,-0.21,-1.27,15.98,-52.53,-38.35,98168.00,1832.00,140456.00,27107
0.24,-0.21,-1.16,2.34,-26.67,-45.14,98280.00,2192.00,141088.00,27132
0.28,-0.13,-1.09,30.58,-10.02,-47.20,98312.00,2488.00,141000.00,27157
0.17,-0.18,-1.02,32.39,6.93,-57.44,98656.00,2856.00,140472.00,27182
0.32,-0.06,-1.16,37.89,24.76,-58.36,99240.00,3416.00,139680.00,27207
0.30,0.16,-0.93,-0.32,36.25,-18.68,99560.00,3416.00,139296.00,27232
0.35,0.06,-1.21,5.35,52.86,10.31,100368.00,3368.00,138592.00,27257
0.39,0.03,-1.08,-34.38,82.64,33.10,101104.00,3352.00,137488.00,27282
0.44,0.15,-0.93,-53.78,89.16,60.19,101520.00,3016.00,136504.00,27307
0.40,0.22,-0.81,-249.94,59.28,160.61,101784.00,3528.00,136248.00,27332
0.44,0.47,-0.79,-249.94,6.71,205.02,101264.00,3672.00,137240.00,27357
0.29,0.58,-0.84,-249.94,-42.76,249.89,99984.00,3872.00,138216.00,27382
0.26,0.57,-0.81,-249.94,-79.45,249.89,98120.00,5696.00,140504.00,27407
0.47,0.12,-1.50,-249.94,-119.74,207.19,96760.00,8600.00,142120.00,27432
0.56,0.16,-1.52,-249.94,-23.00,135.76,96704.00,10776.00,142024.00,27457
0.50,0.35,-1.11,-229.71,38.80,79.41,97544.00,12512.00,140752.00,27482
0.55,0.61,-0.68,-237.57,84.83,55.59,98384.00,14840.00,139040.00,27507
0.77,0.81,-0.00,-249.94,22.62,49.99,98840.00,17336.00,137624.00,27532
0.71,0.86,-0.05,-249.94,-29.75,42.78,98808.00,19872.00,136472.00,27557
0.59,0.96,-0.22,-249.94,-48.42,46.41,98424.00,22512.00,134360.00,27582
0.67,0.86,-0.15,-249.94,-44.04,52.30,98432.00,25248.00,132272.00,27607
0.64,0.71,0.27,-249.94,-52.48,5.14,98144.00,27648.00,129592.00,27633
0.63,0.88,0.20,-249.94,-66.96,-11.40,97672.00,29688.00,127296.00,27657
0.64,0.90,0.15,-249.94,-52.50,-2.69,97408.00,30880.00,125120.00,27682
0.66,0.69,0.29,-249.94,-37.75,5.61,97192.00,31752.00,122688.00,27707
0.66,0.56,0.38,-249.94,-21.32,-8.68,96864.00,32808.00,120016.00,27732
0.57,0.64,0.68,-249.94,-40.02,-19.39,96552.00,33312.00,117272.00,27757
0.63,0.55,0.55,-249.94,-46.69,-15.45,96360.00,33480.00,114496.00,27782
0.68,0.39,0.52,-249.94,-28.76,-18.35,95928.00,32920.00,110672.00,27807
0.67,0.32,0.74,-249.94,-13.01,-23.01,95696.00,32608.00,107336.00,27832
0.61,0.20,1.01,-249.94,-30.72,-33.92,95432.00,31408.00,103984.00,27857
0.72,0.09,0.89,-249.94,-51.09,-32.66,95528.00,29288.00,100928.00,27882
0.71,-0.09,0.72,-249.94,-47.77,-29.56,95440.00,25832.00,97192.00,27907
0.79,-0.33,0.77,-249.94,-40.86,-42.83,95512.00,22128.00,94368.00,27932
0.84,-0.16,0.63,-249.94,-37.00,-36.42,95624.00,19864.00,93312.00,27957
0.91,-0.32,0.53,-188.00,-34.65,-2.88,96056.00,18192.00,92568.00,27982
1.01,-0.60,0.46,-197.21,-24.17,9.67,96096.00,15944.00,92368.00,28007
0.94,-0.72,0.47,-229.46,-17.21,3.24,96488.00,13680.00,91856.00,28032
0.93,-0.72,0.37,-186.18,-16.21,-12.94,96496.00,11968.00,91488.00,28057
0.88,-0.64,0.48,-142.13,1.56,-8.09,96408.00,10704.00,91368.00,28082
1.01,-0.72,0.46,-217.67,-13.46,-1.08,96728.00,7856.00,91352.00,28107
1.10,-0.80,0.31,-249.94,-25.69,2.24,97080.00,3704.00,92000.00,28132
0.97,-0.73,0.09,-249.94,-22.44,15.94,97208.00,520.00,92888.00,28157
0.98,-1.16,0.08,-249.94,-5.01,-4.22,97296.00,-2856.00,94304.00,28182
1.09,-1.15,-0.12,-249.94,-6.73,-38.85,97560.00,-6928.00,97336.00,28207
1.04,-1.03,-0.13,-249.94,3.68,-54.76,98368.00,-11488.00,103456.00,28232
1.06,-0.97,-0.24,-249.94,9.37,-73.02,99432.00,-13928.00,111544.00,28257
1.10,-0.23,-0.42,-249.94,-88.14,-104.98,100384.00,-12896.00,117080.00,28282
1.09,0.20,-1.04,-249.94,-79.51,-57.26,100696.00,-12256.00,120472.00,28307
1.19,0.08,-1.07,-211.65,-27.35,8.26,100704.00,-11848.00,122632.00,28332
1.13,-0.30,-0.80,-217.00,-7.92,26.04,100512.00,-11352.00,124448.00,28357
1.05,-0.18,-0.80,-155.02,-50.62,-21.09,100536.00,-10448.00,126512.00,28382
1.05,-0.02,-0.78,-133.82,-53.19,-24.90,100360.00,-9464.00,128464.00,28407
1.03,0.02,-0.82,-120.17,-64.66,-19.36,100096.00,-8736.00,130216.00,28432
0.94,-0.01,-0.85,-41.64,-80.89,-18.40,99976.00,-8256.00,131360.00,28457
1.04,-0.01,-1.25,-25.68,-54.49,-17.99,99848.00,-7984.00,131536.00,28482
1.02,0.08,-0.90,36.16,-8.41,-15.24,99800.00,-7984.00,131456.00,28507
0.97,0.03,-0.92,111.37,-33.00,-10.25,99784.00,-8752.00,131008.00,28532
0.98,-0.08,-0.97,132.08,-24.76,-15.76,99752.00,-9400.00,130480.00,28557
0.98,-0.05,-0.91,159.89,-29.56,-22.08,99688.00,-10496.00,129056.00,28582
1.00,-0.24,-1.09,250.04,-25.01,-12.33,99648.00,-11680.00,127176.00,28607
0.82,-0.22,-0.98,250.04,-1.67,-11.19,99608.00,-12824.00,125048.00,28632
0.96,-0.22,-0.76,250.04,-5.03,-1.56,99560.00,-13864.00,122672.00,28657
0.92,-0.40,-0.85,250.04,-23.90,13.40,99248.00,-14576.00,119888.00,28682
0.84,-0.66,-0.87,250.04,3.41,16.30,99176.00,-15208.00,117416.00,28707
0.89,-0.77,-0.66,250.04,6.48,7.77,99056.00,-15384.00,113888.00,28732
0.92,-0.91,-0.56,250.04,-9.77,-2.93,99120.00,-14360.00,109168.00,28757
0.85,-0.96,-0.53,250.04,-25.11,-18.43,99128.00,-11656.00,104552.00,28782
0.86,-0.93,-0.32,250.04,0.72,-22.39,99312.00,-8824.00,100912.00,28807
0.88,-0.86,-0.20,250.04,-1.16,-2.20,99344.00,-6552.00,98720.00,28832
0.88,-1.00,-0.11,250.04,7.90,18.13,99096.00,-4400.00,96616.00,28857
0.79,-1.15,0.01,250.04,12.58,11.23,98752.00,-2104.00,95120.00,28882
0.83,-1.16,0.15,250.04,9.06,-5.57,98808.00,784.00,94240.00,28907
0.79,-0.85,0.18,250.04,10.66,-16.62,98616.00,3528.00,93120.00,28932
0.78,-0.84,0.36,250.04,18.69,-4.03,98432.00,7088.00,92624.00,28957
0.75,-0.83,0.41,250.04,24.03,-5.78,97960.00,11312.00,92472.00,28982
0.71,-0.76,0.62,250.04,29.35,-16.05,97672.00,16496.00,93696.00,29007
0.68,-0.34,0.70,250.04,16.22,12.11,97712.00,21008.00,95456.00,29032
0.68,-0.31,0.77,250.04,21.74,12.60,97448.00,25392.00,98944.00,29057
0.65,-0.11,0.82,250.04,23.50,-0.49,97224.00,29184.00,103768.00,29082
0.63,-0.00,0.84,250.04,15.64,-13.44,96912.00,32632.00,111544.00,29107
0.65,0.62,0.34,250.04,6.77,-58.55,96344.00,33200.00,120024.00,29132
0.52,0.80,0.53,250.04,36.57,-61.82,95960.00,32344.00,125960.00,29157
0.48,0.97,0.47,250.04,3.07,-61.23,95408.00,29064.00,132360.00,29182
0.51,0.95,0.31,250.04,-45.96,-48.86,94464.00,22320.00,139576.00,29207
0.56,0.80,-0.73,250.04,-49.45,-65.12,93704.00,15024.00,143312.00,29232
0.50,0.81,-0.73,250.04,-20.40,-57.82,93560.00,9080.00,144656.00,29257
