accelX, accelY, accelZ, gyroX, gyroY, gyroZ, magX, magY, magZ
1.07,0.09,0.53,-168.98,-137.76,-22.78,85120.00,29576.00,94672.00,32357
1.20,-0.16,0.39,-143.20,-130.99,-19.64,85784.00,28672.00,94800.00,32382
1.23,-0.27,0.36,-118.11,-121.06,-41.55,86464.00,27648.00,94368.00,32407
1.11,0.10,0.43,-197.27,-107.67,-63.03,86976.00,26304.00,93400.00,32432
1.30,0.16,0.53,-232.20,-123.47,-34.57,87936.00,24104.00,92680.00,32457
1.38,-0.02,0.21,-171.97,-156.53,-22.45,89192.00,23160.00,92808.00,32482
1.32,-0.12,-0.08,-140.10,-126.31,-16.70,90096.00,21776.00,92624.00,32507
1.45,-0.37,0.20,-175.33,-53.12,-54.35,90440.00,20368.00,92160.00,32532
1.54,-0.14,0.22,-222.26,-69.34,-74.35,90696.00,19176.00,91784.00,32557
1.44,0.13,0.11,-178.60,-97.53,-59.58,91272.00,18072.00,91944.00,32582
1.47,0.10,-0.23,-77.85,-83.56,-26.68,91968.00,18040.00,92424.00,32607
1.48,-0.12,-0.20,16.38,-34.91,-6.04,92128.00,18144.00,92528.00,32632
1.58,-0.05,-0.04,-62.43,-34.92,-13.15,92192.00,17672.00,92656.00,32657
1.46,-0.09,0.07,-78.73,-27.49,-2.76,92512.00,16992.00,92664.00,32682
1.56,-0.05,0.01,4.00,-47.29,-1.85,93024.00,17912.00,93512.00,32707
1.59,0.13,-0.31,131.73,-30.54,13.25,93224.00,20000.00,94272.00,32732
1.53,0.14,-0.10,250.04,37.52,60.61,93232.00,22360.00,96128.00,32757
1.56,0.15,0.00,250.04,43.47,80.90,93336.00,25176.00,98936.00,32782
1.52,-0.00,0.02,250.04,48.51,88.62,93936.00,28808.00,104008.00,32807
1.57,-0.01,-0.13,250.04,63.75,70.74,94352.00,31360.00,111168.00,32832
1.45,0.09,0.15,250.04,155.42,45.04,94832.00,31360.00,118416.00,32857
1.33,0.01,0.40,250.04,159.74,16.03,95400.00,29736.00,123736.00,32882
1.22,0.19,0.76,250.04,114.51,-17.73,95712.00,27304.00,128480.00,32907
1.37,0.53,0.51,250.04,54.86,-16.24,96216.00,24240.00,131744.00,32932
1.43,0.18,0.27,250.04,-1.35,9.38,96376.00,20920.00,134296.00,32957
1.46,0.18,0.05,250.04,-2.95,-11.09,96248.00,17400.00,136424.00,32982
1.53,0.40,-0.09,250.04,11.15,-23.74,96488.00,12696.00,137856.00,33007
1.48,0.50,-0.18,250.04,19.63,-23.15,96968.00,7704.00,138016.00,33032
1.45,0.55,-0.09,250.04,30.79,-17.59,97216.00,3144.00,137240.00,33057
1.42,0.58,-0.15,250.04,31.84,9.07,97408.00,-592.00,135528.00,33082
1.47,0.37,-0.11,250.04,26.69,23.51,97472.00,-4264.00,133384.00,33107
1.43,0.31,-0.16,250.04,9.45,22.67,97352.00,-7320.00,130808.00,33132
1.38,0.39,-0.48,250.04,-18.62,33.51,97080.00,-10288.00,127776.00,33157
1.43,-0.11,-0.40,250.04,68.57,14.13,97056.00,-11920.00,123496.00,33182
1.41,-0.01,-0.17,250.04,48.78,-15.24,97424.00,-12816.00,119344.00,33207
1.47,0.09,-0.55,250.04,10.76,-8.74,97464.00,-12824.00,113152.00,33232
1.50,-0.31,-0.87,250.04,35.71,-24.63,97312.00,-9312.00,104912.00,33257
1.54,0.06,-0.54,250.04,64.04,-105.83,97248.00,-2328.00,98624.00,33282
1.61,0.05,-0.38,250.04,87.97,-81.98,96808.00,3656.00,95896.00,33307
1.54,-0.10,0.00,250.04,49.87,-55.65,96392.00,8480.00,95008.00,33332
1.58,-0.38,-0.08,250.04,20.23,-27.27,96328.00,13024.00,95400.00,33357
1.63,-0.43,-0.21,250.04,0.56,-64.47,95768.00,17208.00,96688.00,33382
1.80,-0.34,-0.25,250.04,-5.60,-75.58,95432.00,20728.00,98352.00,33407
1.68,-0.30,-0.37,250.04,4.55,-87.33,94832.00,23872.00,100416.00,33432
1.52,0.09,-0.14,250.04,21.97,-72.42,94160.00,26264.00,102616.00,33457
1.57,0.22,-0.12,250.04,16.45,-30.83,93928.00,27416.00,104088.00,33482
1.49,-0.07,-0.22,145.01,35.09,0.41,93944.00,28080.00,105104.00,33507
1.43,-0.20,0.04,165.38,49.69,-0.41,93696.00,28960.00,106232.00,33532
1.41,-0.15,0.20,158.11,35.35,-9.38,93424.00,29400.00,107112.00,33557
1.28,-0.06,0.09,74.26,28.03,-10.83,92952.00,29808.00,107064.00,33582
1.31,-0.01,0.27,-42.79,-5.86,-7.82,93088.00,29424.00,106736.00,33607
1.43,-0.04,0.01,-135.39,-24.64,-9.42,93296.00,29096.00,105424.00,33632
1.42,0.01,0.15,-198.76,-15.47,-4.58,93224.00,27688.00,103472.00,33657
1.40,-0.08,0.23,-249.94,-34.89,8.66,93480.00,25648.00,101656.00,33682
1.58,-0.22,-0.14,-249.94,-62.96,23.06,94152.00,23048.00,99128.00,33707
1.42,-0.26,-0.12,-249.94,-57.50,23.41,94800.00,19008.00,97376.00,33732
1.48,-0.30,-0.09,-249.94,-62.39,22.22,95448.00,15032.00,96160.00,33757
1.60,-0.29,-0.25,-249.94,-73.63,14.40,96224.00,9768.00,95896.00,33782
1.69,-0.08,-0.66,-249.94,-56.69,21.07,96848.00,4144.00,96888.00,33807
1.76,-0.07,-0.45,-249.94,-37.32,17.65,97280.00,-1048.00,99248.00,33832
1.66,-0.05,-0.38,-249.94,-43.80,10.00,97480.00,-5672.00,103272.00,33857
1.73,-0.20,-0.61,-249.94,-18.55,3.97,97536.00,-9680.00,110120.00,33882
1.86,-0.13,-0.35,-249.94,30.23,-21.59,97872.00,-10048.00,118784.00,33907
1.63,0.54,0.43,-249.94,-48.61,-2.77,97888.00,-6464.00,127328.00,33932
1.47,0.46,0.14,-249.94,-106.25,0.49,96864.00,2464.00,134400.00,33957
1.59,0.34,0.35,-249.94,-139.99,-27.65,95064.00,14224.00,136048.00,33982
1.37,0.48,0.36,-249.94,-192.48,-69.89,92936.00,24384.00,131672.00,34007
1.65,1.08,-0.17,-249.94,-150.99,-76.94,91184.00,30664.00,124008.00,34032
1.55,0.84,-0.17,-249.94,-133.67,-13.15,90624.00,32328.00,115752.00,34057
1.13,0.60,-0.33,-249.94,-134.29,14.48,90936.00,31024.00,109368.00,34082
1.33,0.59,-0.02,-249.94,-93.41,50.26,91912.00,28688.00,106304.00,34107
1.59,-0.24,-0.55,-249.94,-153.19,78.55,93152.00,26512.00,104328.00,34132
1.57,-0.36,-0.66,-249.94,-102.30,15.94,93504.00,24504.00,102632.00,34157
1.50,-0.14,-0.51,-248.43,-62.55,-14.46,93552.00,23296.00,101560.00,34182
1.40,-0.10,-0.46,-194.13,-32.27,-15.36,93504.00,22448.00,100840.00,34207
1.61,-0.24,-0.10,-151.00,-32.30,-20.35,93552.00,21688.00,100152.00,34232
1.57,-0.12,-0.40,-218.71,-63.53,-39.83,93648.00,20704.00,99544.00,34257
1.31,0.12,-0.38,-244.58,-72.49,-58.14,93792.00,19840.00,99432.00,34282
1.14,0.46,-0.51,-49.50,-64.13,-52.09,93944.00,20288.00,100104.00,34307
1.56,0.27,-0.76,250.04,51.37,1.95,93712.00,22160.00,101072.00,34332
1.46,0.46,-0.57,250.04,91.90,7.53,93312.00,24784.00,103824.00,34357
1.32,0.49,-0.35,250.04,138.01,15.71,92984.00,26936.00,106648.00,34382
1.33,0.29,0.38,250.04,105.62,38.43,93224.00,28488.00,111104.00,34407
1.49,0.05,0.02,250.04,38.59,28.87,93704.00,28912.00,118104.00,34432
1.65,0.12,-0.41,250.04,80.44,-28.63,93696.00,26520.00,125224.00,34457
1.62,0.13,-0.49,250.04,107.18,-43.02,94360.00,21392.00,131144.00,34482
1.48,0.26,-0.37,250.04,170.27,-67.83,95656.00,15440.00,133392.00,34507
1.35,0.43,0.18,250.04,179.10,-91.94,96600.00,9440.00,133880.00,34532
1.63,0.40,0.15,250.04,27.42,-49.00,96904.00,3296.00,132888.00,34557
1.61,0.02,-0.16,250.04,3.85,-36.15,97176.00,-1672.00,130264.00,34582
1.34,-0.09,-0.20,250.04,4.51,-57.97,97560.00,-5408.00,126440.00,34607
1.53,0.09,-0.33,250.04,-12.00,-62.23,98120.00,-7864.00,120576.00,34632
1.44,0.21,-0.46,250.04,2.32,-58.77,98328.00,-7888.00,114696.00,34657
1.44,0.03,-0.69,250.04,-0.92,-62.56,98712.00,-4872.00,107928.00,34682
1.56,-0.03,-0.91,250.04,48.75,-90.32,98688.00,920.00,102656.00,34707
1.57,0.27,-0.56,250.04,90.07,-93.84,98328.00,6880.00,100224.00,34732
1.52,0.43,-0.42,250.04,82.84,-49.50,97568.00,11144.00,99280.00,34757
1.37,-0.36,-0.00,250.04,60.32,-35.11,96944.00,15208.00,99592.00,34782
1.38,-0.28,0.31,250.04,35.85,-39.69,96808.00,19488.00,101912.00,34807
1.78,-0.49,-0.32,250.04,-25.60,-51.21,96464.00,22944.00,104680.00,34832
1.49,-0.37,-0.34,250.04,-10.24,-94.87,95984.00,25544.00,107560.00,34857
1.48,0.08,-0.13,250.04,41.32,-27.32,95512.00,26656.00,109384.00,34882
1.58,-0.19,0.28,199.48,28.35,-0.14,95696.00,27368.00,110560.00,34907
1.69,-0.46,-0.03,130.29,-20.07,-5.56,95664.00,27832.00,111608.00,34932
1.61,-0.39,-0.39,91.37,-25.36,-27.71,95352.00,28328.00,112128.00,34957
1.48,-0.19,0.06,66.35,3.20,-58.18,94768.00,28728.00,112520.00,34982
1.68,-0.01,-0.03,-4.93,-12.63,-40.04,94688.00,29136.00,112256.00,35007
1.66,-0.07,-0.08,-67.08,-2.72,-6.02,94736.00,29208.00,111104.00,35032
1.67,-0.10,0.16,-141.64,7.45,5.92,94992.00,28576.00,110184.00,35057
1.46,-0.28,-0.03,-249.94,-111.75,-2.18,95216.00,27368.00,108000.00,35082
1.37,-0.23,-0.34,-249.94,-115.96,-18.44,95672.00,24584.00,103664.00,35107
1.23,0.16,-0.68,-249.94,-94.13,-36.10,96112.00,19840.00,99464.00,35132
1.19,0.54,-0.63,-249.94,-41.25,-0.44,96552.00,14992.00,97512.00,35157
1.28,0.22,-0.41,-249.94,-25.54,57.20,96976.00,11120.00,96912.00,35182
1.47,-0.19,-0.22,-249.94,4.84,39.21,97312.00,6800.00,96752.00,35207
1.31,-0.16,-0.07,-249.94,-1.37,30.65,97560.00,3024.00,97280.00,35232
1.47,-0.44,-0.12,-249.94,-12.31,22.99,97768.00,-680.00,98840.00,35257
1.61,-0.37,-0.28,-249.94,-17.72,-14.50,98096.00,-4496.00,101712.00,35282
1.63,0.13,-0.25,-249.94,-9.67,-12.69,98672.00,-8144.00,106640.00,35307
1.62,0.15,-0.14,-249.94,-7.00,-6.06,98976.00,-10296.00,114320.00,35332
1.64,0.15,0.10,-249.94,-26.95,-16.11,99280.00,-8912.00,122152.00,35357
1.68,0.21,0.19,-249.94,-18.03,-35.33,99432.00,-2664.00,130576.00,35382
1.35,0.02,0.77,-249.94,-110.37,-94.47,98864.00,9144.00,134680.00,35407
1.39,0.34,0.73,-249.94,-178.57,-176.02,96760.00,20912.00,133080.00,35432
1.47,0.74,0.27,-249.94,-162.52,-206.91,94160.00,29752.00,125496.00,35457
1.34,1.02,0.16,-249.94,-99.47,-175.31,92504.00,33096.00,114960.00,35482
1.58,1.07,0.14,-249.94,-66.21,-2.30,92480.00,32288.00,108904.00,35507
1.75,0.39,-0.21,-249.94,-40.11,74.55,93408.00,30640.00,106616.00,35532
1.81,-0.19,-0.28,-122.78,9.22,87.35,94024.00,29672.00,105368.00,35557
1.74,-0.26,-0.15,19.71,60.07,63.82,94192.00,29256.00,105480.00,35582
1.77,-0.24,0.07,57.39,74.97,47.84,94296.00,29016.00,105248.00,35607
1.55,-0.22,0.33,76.37,58.27,26.53,94392.00,29320.00,105328.00,35632
1.65,-0.12,0.34,112.07,35.38,23.73,94472.00,29568.00,106248.00,35657
1.68,-0.11,0.19,163.48,27.42,27.30,94384.00,30232.00,108696.00,35682
1.65,-0.04,-0.05,250.04,30.85,21.97,94568.00,31480.00,113600.00,35707
1.46,0.09,0.06,250.04,92.16,-18.47,94648.00,31160.00,120480.00,35732
1.52,0.12,-0.02,250.04,113.28,-44.46,94584.00,28464.00,127656.00,35757
1.44,0.15,0.06,250.04,138.87,-79.81,94752.00,23520.00,133448.00,35782
1.24,-0.03,0.20,250.04,77.15,-120.67,94608.00,17168.00,138160.00,35807
0.95,0.53,-0.15,250.04,-9.71,-233.88,94104.00,10808.00,140360.00,35832
1.09,0.79,-0.52,250.04,-56.78,-212.46,93504.00,4976.00,140872.00,35857
0.93,0.56,-0.43,250.04,-75.84,-166.06,92944.00,1024.00,140680.00,35882
1.01,0.43,-0.28,250.04,-98.50,-123.35,91928.00,248.00,141464.00,35907
0.72,0.42,-0.34,172.87,-223.37,-55.93,89632.00,-1288.00,142512.00,35932
0.70,-0.37,-0.80,187.76,-250.05,-79.79,87136.00,-2480.00,143800.00,35957
0.82,-0.23,-0.97,52.98,-224.56,-136.31,85104.00,-2024.00,144928.00,35982
0.44,0.29,-0.90,31.98,-202.21,-135.38,83032.00,-1688.00,146232.00,36007
0.40,0.25,-1.03,8.71,-187.00,-114.88,81200.00,-1304.00,146904.00,36032
0.33,0.24,-0.65,64.40,-188.19,-126.81,78976.00,-1664.00,147480.00,36057
0.00,-0.03,-0.86,76.63,-215.10,-132.32,76592.00,-2784.00,147520.00,36082
-0.28,0.04,-0.94,224.02,-220.18,-202.57,74752.00,-4200.00,147408.00,36107
-0.24,0.65,-1.21,53.85,-189.54,-166.57,72920.00,-5240.00,147392.00,36132
-0.24,0.45,-1.20,32.67,-90.34,-42.98,71896.00,-6080.00,147208.00,36157
-0.46,0.04,-0.55,165.30,-119.17,-45.62,70496.00,-7696.00,146352.00,36182
-0.26,-0.49,-0.69,51.00,-146.55,-57.45,68960.00,-7480.00,146632.00,36207
-0.49,-0.20,-0.99,-151.16,-129.54,-96.58,68040.00,-4192.00,147928.00,36232
-0.90,0.06,-0.37,-171.98,-143.75,-77.50,66400.00,-1808.00,148504.00,36257
-0.76,-0.70,-0.08,-135.51,-183.94,-95.23,63920.00,-1112.00,148008.00,36282
-1.66,-1.03,0.30,110.61,-250.05,-238.82,60520.00,-3896.00,146600.00,36307
-2.62,0.66,-0.48,72.69,-250.05,-250.08,57192.00,-4904.00,144888.00,36332
-1.91,0.21,0.69,94.37,-250.05,-138.16,54728.00,-6016.00,142808.00,36357
-2.15,0.34,0.03,12.69,-250.05,-109.53,51080.00,-7304.00,139352.00,36382
-2.21,0.28,0.03,-42.70,-250.05,-90.05,47888.00,-7944.00,135304.00,36407
-2.33,0.24,-0.20,-26.23,-250.05,-96.65,45584.00,-8640.00,131336.00,36432
-2.31,0.31,-0.23,-26.58,-250.05,-110.24,44712.00,-9976.00,127552.00,36457
-1.66,0.35,-0.57,29.07,-235.70,-64.96,44216.00,-10696.00,124648.00,36482
-1.45,0.29,-0.59,27.68,-135.00,-22.63,43984.00,-10696.00,122944.00,36507
-1.52,0.25,-0.57,27.81,-27.75,22.05,43664.00,-10416.00,122952.00,36532
-1.45,0.15,-0.42,86.83,62.27,43.54,43616.00,-10200.00,123480.00,36557
-1.69,0.09,-0.08,144.35,209.35,71.79,43720.00,-9608.00,125128.00,36582
-1.53,0.02,0.03,157.30,249.92,71.36,44104.00,-9296.00,127112.00,36607
-1.64,-0.01,0.22,137.07,249.92,61.26,45048.00,-9472.00,129304.00,36632
-1.68,-0.01,0.44,140.27,249.92,38.27,46312.00,-9856.00,130856.00,36657
-1.67,0.13,0.64,112.24,139.12,14.72,47112.00,-10432.00,131184.00,36682
-1.49,0.15,0.60,52.95,54.31,30.27,47016.00,-10480.00,131264.00,36707
-1.47,0.13,0.54,52.40,-20.53,52.05,46288.00,-10080.00,130488.00,36732
-1.42,-0.00,0.16,44.91,-6.83,48.41,45368.00,-9296.00,129728.00,36757
-1.44,-0.20,-0.06,-64.34,-161.98,83.69,43896.00,-8416.00,127368.00,36782
-1.48,-0.03,0.09,-18.92,-199.36,47.36,42456.00,-7488.00,125488.00,36807
-1.72,-0.34,0.28,-70.83,-198.19,38.12,41768.00,-7080.00,123000.00,36832
-1.66,-0.23,0.00,-29.06,-218.27,-31.45,41736.00,-7672.00,120928.00,36857
-1.55,-0.32,-0.25,-82.00,-223.43,-51.35,42160.00,-8672.00,119136.00,36882
-1.57,-0.00,-0.28,-28.70,-49.42,-119.81,42920.00,-10168.00,119088.00,36907
-1.43,0.25,-0.14,-53.87,1.13,-120.16,43936.00,-11680.00,119712.00,36932
-1.45,0.32,-0.20,-84.67,37.40,-82.18,44680.00,-12456.00,121328.00,36957
-1.52,0.30,0.12,-33.07,137.55,-40.67,45104.00,-12560.00,122448.00,36982
-1.54,-0.23,1.13,77.78,24.26,-38.96,45408.00,-13456.00,121688.00,37007
-1.57,-0.02,0.64,167.71,-65.32,-46.81,45776.00,-14136.00,119472.00,37032
-1.47,0.20,0.31,196.85,-82.44,-35.71,45952.00,-14464.00,116616.00,37057
-1.11,0.12,-0.09,134.05,-101.71,3.65,45816.00,-14192.00,115376.00,37082
-1.55,-0.35,0.06,179.44,14.77,7.30,45584.00,-13800.00,113912.00,37107
-1.41,-0.36,0.27,217.60,24.23,-31.63,45896.00,-13984.00,112392.00,37132
-1.25,-0.35,0.12,250.04,36.77,-91.41,46920.00,-14480.00,110456.00,37157
-1.34,0.55,-0.10,166.94,83.11,-94.44,46880.00,-14576.00,110528.00,37182
-1.66,-0.37,0.42,126.82,118.13,24.41,46128.00,-13896.00,110872.00,37207
-1.61,-0.67,0.58,137.23,73.81,-56.87,46368.00,-14296.00,110440.00,37232
-1.73,0.06,0.45,52.00,44.30,-90.15,47168.00,-14944.00,109928.00,37257
-1.68,0.24,-0.00,7.73,32.89,-48.77,47216.00,-15056.00,109696.00,37282
-1.46,0.09,0.05,79.63,52.30,-26.58,47216.00,-14760.00,109536.00,37307
-1.47,0.02,0.49,162.38,28.08,-12.29,47216.00,-14304.00,108376.00,37332
-1.66,-0.07,0.41,201.59,-19.53,-14.54,47456.00,-13768.00,106080.00,37357
-1.49,0.01,0.24,225.53,-42.95,6.55,47560.00,-12520.00,103736.00,37382
-1.39,0.07,0.13,176.75,-46.72,30.99,47320.00,-10936.00,101488.00,37407
-1.42,-0.30,0.20,250.04,-13.21,-5.20,47384.00,-8632.00,99032.00,37432
-1.46,-0.00,0.40,250.04,-15.73,-6.13,47592.00,-5952.00,96792.00,37457
-1.42,0.14,0.25,250.04,-43.97,0.16,47968.00,-3248.00,94760.00,37482
-1.40,0.05,0.00,250.04,-17.79,10.36,47720.00,-400.00,93600.00,37507
-1.44,0.03,0.04,250.04,-1.50,11.10,47632.00,3120.00,92824.00,37532
-1.46,-0.22,-0.06,250.04,34.40,-4.38,47288.00,6400.00,92608.00,37557
-1.47,-0.07,0.25,250.04,60.29,-44.39,46736.00,8688.00,93656.00,37582
-1.49,0.36,0.47,250.04,31.43,-31.96,46368.00,11336.00,93880.00,37607
-1.44,0.05,0.09,250.04,5.65,-3.09,46368.00,14320.00,94488.00,37632
-1.45,-0.07,0.25,217.02,17.28,-7.01,46264.00,15896.00,95544.00,37657
-1.48,0.07,0.40,166.81,-7.40,-16.05,46384.00,17416.00,95912.00,37682
-1.45,0.09,0.19,149.33,-30.37,-10.29,46432.00,18768.00,96272.00,37707
-1.40,0.06,0.14,170.39,-32.10,-5.51,46736.00,20384.00,96968.00,37732
-1.55,0.16,-0.00,250.04,4.81,18.29,46920.00,22816.00,98208.00,37757
-1.40,-0.17,0.23,250.04,6.09,0.91,46928.00,24640.00,100168.00,37782
-1.41,0.05,0.17,234.85,-16.18,-17.97,46720.00,26192.00,101968.00,37807
-1.39,0.12,0.08,231.95,-5.35,1.62,46960.00,27384.00,103392.00,37832
-1.47,0.32,0.25,134.13,-27.99,6.89,47112.00,28256.00,104272.00,37857
-1.36,-0.03,-0.04,184.20,-19.16,22.84,47440.00,29408.00,106136.00,37882
-1.38,-0.16,0.12,222.89,-4.21,-4.17,47264.00,29984.00,107912.00,37907
-1.41,0.34,0.20,199.80,-2.11,-20.29,47248.00,31136.00,110024.00,37932
-1.45,0.05,0.36,163.72,13.30,26.81,47728.00,31640.00,112016.00,37957
-1.47,-0.15,0.13,183.90,-13.17,-0.54,47712.00,31872.00,113864.00,37982
-1.43,-0.00,-0.03,232.34,1.53,-18.36,47312.00,31704.00,116408.00,38007
-1.45,0.05,0.23,249.77,-5.02,-27.22,47112.00,31344.00,119000.00,38032
-1.49,0.41,0.15,248.24,-18.44,-18.67,47376.00,31288.00,121080.00,38057
-1.46,-0.14,0.21,249.65,-21.81,34.24,47688.00,31184.00,123256.00,38082
-1.44,-0.10,0.06,212.53,-30.23,4.45,47592.00,30480.00,124864.00,38107
-1.38,0.07,-0.10,175.00,-14.05,-3.45,47472.00,29704.00,126952.00,38132
-1.47,0.13,0.17,224.51,-10.64,-0.44,47544.00,28576.00,128608.00,38157
-1.39,0.01,-0.11,113.03,-40.65,1.88,47376.00,27872.00,129248.00,38182
-1.40,0.01,-0.10,-8.99,-7.05,0.69,47272.00,28136.00,129040.00,38207
-1.40,0.01,-0.01,-70.38,8.33,-3.89,47120.00,28712.00,128032.00,38232
-1.48,0.06,0.25,-146.84,0.40,-2.50,47136.00,29456.00,126072.00,38257
-1.37,0.33,-0.26,-207.42,-24.25,-1.52,47056.00,30112.00,123920.00,38282
-1.34,0.15,-0.29,-249.94,24.22,30.55,47288.00,31336.00,121096.00,38307
-1.42,-0.12,0.06,-249.94,49.06,27.25,47440.00,31952.00,118664.00,38332
-1.45,0.03,0.23,-249.94,40.18,14.31,47648.00,32048.00,115896.00,38357
-1.46,0.16,0.25,-249.94,-3.36,12.08,47848.00,32104.00,112920.00,38382
-1.40,0.14,-0.02,-249.94,2.40,18.41,47688.00,31296.00,109192.00,38407
-1.44,0.07,-0.02,-249.94,26.96,23.08,47848.00,29856.00,105784.00,38432
-1.46,0.09,0.19,-249.94,40.64,22.22,47968.00,27632.00,102256.00,38457
-1.49,0.09,0.32,-249.94,10.74,24.78,48088.00,23744.00,97608.00,38482
-1.53,0.11,0.16,-249.94,-4.36,24.05,48216.00,17896.00,93816.00,38507
-1.47,0.20,-0.03,-249.94,10.25,24.61,48080.00,12088.00,92072.00,38532
-1.39,0.00,0.04,-249.94,40.34,33.47,47656.00,5040.00,92608.00,38557
-1.32,-0.21,0.16,-249.94,54.34,14.62,47248.00,-2960.00,95184.00,38582
-1.48,0.09,0.27,-249.94,33.58,5.58,46960.00,-8608.00,99408.00,38607
-1.50,-0.19,0.21,-249.94,42.39,20.55,46720.00,-12896.00,105664.00,38632
-1.44,-0.04,-0.01,-249.94,43.68,14.44,46576.00,-15184.00,113144.00,38657
-1.40,0.01,0.17,-249.94,66.04,23.80,46232.00,-14584.00,120344.00,38682
-1.51,0.10,0.22,-249.94,15.46,65.57,45688.00,-12384.00,125664.00,38707
-1.46,-0.14,-0.04,-249.94,6.48,68.08,45232.00,-9296.00,129752.00,38732
-1.48,-0.11,-0.12,-249.94,23.56,46.41,45248.00,-5824.00,133352.00,38757
-1.51,-0.11,0.36,-249.94,24.86,32.55,44984.00,-1560.00,135472.00,38782
-1.47,0.13,0.12,-249.94,-30.45,5.78,44640.00,3232.00,136728.00,38807
-1.47,0.11,0.37,-249.94,-34.65,12.58,44128.00,7960.00,136848.00,38832
-1.45,-0.12,0.16,-249.94,-60.42,-3.27,43920.00,11096.00,135808.00,38857
-1.37,-0.02,-0.09,-249.94,-29.67,-22.97,43744.00,13736.00,134760.00,38882
-1.38,0.03,0.07,-249.94,12.63,-21.73,43464.00,15960.00,133616.00,38907
-1.53,-0.18,0.33,-249.94,-24.10,-49.54,43048.00,18160.00,132056.00,38932
-1.45,0.22,0.30,-249.94,-29.42,-52.10,42752.00,19560.00,129744.00,38957
-1.45,0.13,0.07,-249.94,-19.67,-23.03,42560.00,20856.00,128152.00,38982
-1.44,-0.01,0.00,-220.17,-5.22,-15.95,42464.00,21728.00,126824.00,39007
-1.38,0.01,0.28,-249.94,16.55,-17.82,42344.00,22344.00,125632.00,39032
-1.40,-0.08,0.19,-235.95,3.01,-7.68,42408.00,23440.00,124128.00,39057
-1.36,0.01,0.22,-194.46,-2.62,-3.32,42368.00,23792.00,123280.00,39082
-1.40,-0.08,-0.02,-54.19,-8.88,7.51,42336.00,23576.00,123656.00,39107
-1.53,-0.17,0.01,210.35,44.67,-7.04,42480.00,22760.00,125864.00,39133
-1.50,-0.03,0.16,250.04,52.19,-13.44,42832.00,21440.00,128336.00,39157
-1.45,0.02,0.21,250.04,39.52,-2.58,42968.00,19056.00,130776.00,39182
-1.46,-0.14,0.30,250.04,16.10,-7.53,42920.00,14888.00,133264.00,39207
-1.38,0.41,-0.11,250.04,21.08,-1.92,43048.00,9584.00,134920.00,39232
-1.50,-0.02,0.63,250.04,41.03,43.76,43464.00,4832.00,135232.00,39257
-1.47,-0.38,0.86,250.04,-31.95,19.59,43000.00,-1424.00,132440.00,39282
-1.52,-0.26,0.47,250.04,-91.19,-1.66,42584.00,-6832.00,126592.00,39307
-1.47,-0.13,0.09,250.04,-71.79,-14.11,42560.00,-9152.00,121112.00,39332
-1.43,0.07,0.24,250.04,-26.49,-7.39,42696.00,-9880.00,117304.00,39357
-1.42,0.21,0.33,250.04,-33.52,-1.74,42592.00,-9528.00,113736.00,39382
-1.42,0.05,0.30,250.04,-47.97,3.33,42576.00,-8528.00,110144.00,39407
-1.43,-0.09,0.14,250.04,-45.11,-12.89,42816.00,-7304.00,106552.00,39432
-1.44,0.35,0.19,250.04,-35.52,-16.95,43184.00,-5424.00,103712.00,39457
-1.41,0.15,0.12,250.04,-35.21,-5.91,43520.00,-2736.00,101136.00,39482
-1.43,0.19,0.16,250.04,-31.34,-11.20,43544.00,224.00,99080.00,39507
-1.39,0.16,0.13,250.04,-37.30,-10.53,43720.00,2984.00,97560.00,39532
-1.45,0.10,0.05,250.04,-24.86,-25.32,43912.00,5992.00,97208.00,39557
-1.47,0.19,0.03,250.04,-19.82,-26.47,44088.00,8296.00,96648.00,39582
-1.49,0.29,0.06,131.63,-18.88,-12.88,44112.00,8888.00,96416.00,39607
-1.60,0.06,-0.05,-31.95,-17.58,5.30,44336.00,7616.00,96176.00,39632
-1.48,-0.30,0.23,-174.95,-21.85,-59.36,44656.00,5456.00,96272.00,39657
-1.52,-0.00,-0.02,-249.94,-15.98,-87.68,44856.00,936.00,96936.00,39682
-1.48,-0.31,0.06,-249.94,18.90,-98.53,45032.00,-5560.00,99904.00,39707
-1.45,-0.33,-0.05,-249.94,60.12,-141.57,45608.00,-11704.00,105792.00,39732
-1.60,0.06,-0.04,-249.94,114.35,-148.26,46320.00,-14448.00,112000.00,39757
-1.66,0.38,-0.08,-249.94,194.26,-16.40,46376.00,-14712.00,119472.00,39782
-1.58,0.18,-0.25,-249.94,221.63,64.70,46128.00,-11960.00,127880.00,39807
-1.47,0.16,-0.22,-249.94,206.19,116.61,46416.00,-7312.00,133680.00,39832
-1.46,0.16,-0.37,-249.94,196.91,150.92,47248.00,-2536.00,137704.00,39857
-1.60,0.38,-0.20,-172.32,190.83,214.84,48352.00,1504.00,140464.00,39882
-1.29,0.22,-0.51,-84.17,163.31,210.96,49712.00,4920.00,142240.00,39907
-1.39,0.40,-0.39,-160.40,187.86,209.23,51824.00,8448.00,143600.00,39932
-1.55,0.46,-0.09,-120.55,182.19,209.80,53976.00,11264.00,144704.00,39957
-0.87,-0.18,0.16,-65.88,29.76,116.46,54600.00,12872.00,144832.00,39982
-0.76,0.39,-0.22,25.09,-27.24,47.67,54312.00,13224.00,144736.00,40007
