accelX,accelY,accelZ,gyroX,gyroY,gyroZ,magX,magY,magZ
1.30,-0.71,-0.17,-125.21,33.36,-70.58,137389.00,132795.00,134514.00
1.40,-0.77,-0.20,-125.21,35.12,-49.31,137386.00,132812.00,134467.00
1.44,-0.54,-0.41,-125.21,17.68,-44.51,137386.00,132769.00,134497.00
1.39,-0.37,-0.44,-125.21,35.73,-17.89,137375.00,132793.00,134502.00
1.42,-0.45,-0.39,-125.21,34.35,2.41,137362.00,132800.00,134460.00
1.50,-0.48,-0.56,-125.21,31.94,8.62,137383.00,132791.00,134502.00
1.49,-0.31,-0.68,-125.21,41.86,13.19,137368.00,132784.00,134472.00
1.37,-0.37,-0.57,-125.21,59.21,31.51,137369.00,132798.00,134469.00
1.40,-0.42,-0.49,-125.21,55.33,37.78,137356.00,132787.00,134492.00
1.43,-0.42,-0.58,-125.21,44.63,34.13,137362.00,132795.00,134483.00
1.49,-0.36,-0.59,-125.21,44.95,27.83,137356.00,132767.00,134497.00
1.44,-0.27,-0.56,-125.21,48.40,27.80,137346.00,132797.00,134461.00
1.42,-0.26,-0.56,-125.21,47.07,31.15,137336.00,132779.00,134451.00
1.47,-0.14,-0.54,-125.21,61.58,32.31,137329.00,132783.00,134488.00
1.45,-0.10,-0.41,-125.21,49.19,37.35,137329.00,132780.00,134482.00
1.49,-0.09,-0.51,-125.21,40.83,40.00,137327.00,132791.00,134478.00
1.44,-0.02,-0.50,-125.21,42.98,45.76,137302.00,132765.00,134488.00
1.52,-0.04,-0.48,-125.21,53.87,55.90,137309.00,132776.00,134489.00
1.49,-0.02,-0.29,-125.21,39.95,57.57,137304.00,132780.00,134486.00
1.49,0.01,-0.46,-125.21,34.59,64.23,137287.00,132791.00,134495.00
1.52,0.01,-0.45,-125.21,44.71,71.46,137267.00,132782.00,134498.00
1.51,-0.04,-0.39,-125.21,55.90,84.39,137277.00,132774.00,134489.00
1.61,-0.13,-0.16,-125.21,55.36,78.20,137256.00,132760.00,134474.00
1.52,-0.18,-0.10,-125.21,37.97,76.09,137227.00,132799.00,134495.00
1.55,-0.23,-0.08,-125.21,17.00,62.62,137229.00,132766.00,134498.00
1.63,-0.17,-0.26,-125.21,9.83,51.52,137238.00,132768.00,134489.00
1.59,-0.28,0.09,-123.19,1.46,45.99,137215.00,132776.00,134484.00
1.59,-0.12,-0.34,51.98,-16.21,33.46,137223.00,132772.00,134513.00
1.54,-0.09,-0.38,124.78,9.02,36.44,137228.00,132779.00,134490.00
1.60,-0.13,-0.13,124.78,21.47,30.04,137229.00,132776.00,134508.00
1.55,-0.07,-0.16,124.78,1.88,39.12,137220.00,132746.00,134479.00
1.50,-0.25,0.05,124.78,8.45,36.33,137207.00,132773.00,134495.00
1.55,-0.30,0.09,124.78,-17.50,24.43,137210.00,132782.00,134486.00
1.60,-0.16,-0.03,124.78,-33.48,15.00,137208.00,132769.00,134483.00
1.57,-0.10,-0.03,124.78,-29.63,30.29,137207.00,132793.00,134497.00
1.54,-0.37,0.12,124.78,-33.72,31.11,137211.00,132778.00,134474.00
1.53,-0.30,0.00,124.78,-37.50,18.92,137227.00,132786.00,134498.00
1.56,-0.28,0.04,124.78,-41.08,13.01,137233.00,132790.00,134501.00
1.43,-0.18,-0.07,124.78,-38.25,18.62,137246.00,132799.00,134475.00
1.48,-0.31,0.08,124.78,-30.98,18.82,137245.00,132804.00,134486.00
1.54,-0.26,0.09,124.78,-37.40,10.08,137260.00,132788.00,134486.00
1.57,-0.25,-0.06,124.78,-38.19,3.95,137259.00,132783.00,134466.00
1.61,-0.25,-0.11,124.78,-29.44,-7.17,137253.00,132796.00,134479.00
1.51,-0.13,-0.06,124.78,-10.53,0.45,137251.00,132780.00,134472.00
1.52,-0.21,0.06,124.78,-14.95,-10.62,137259.00,132811.00,134473.00
1.53,-0.12,0.00,124.78,-28.51,-14.40,137250.00,132818.00,134452.00
1.53,-0.18,-0.03,124.78,-36.23,-11.17,137244.00,132795.00,134490.00
1.57,-0.18,-0.06,124.78,-26.36,-35.09,137249.00,132781.00,134500.00
1.56,-0.04,-0.13,124.78,-18.40,-30.14,137238.00,132791.00,134485.00
1.33,0.09,0.09,124.78,-35.52,-21.68,137226.00,132786.00,134511.00
1.52,0.07,-0.02,124.78,-38.48,-0.32,137232.00,132779.00,134483.00
1.55,-0.09,-0.02,124.78,-45.19,12.85,137214.00,132777.00,134466.00
1.56,-0.15,-0.22,124.78,-42.29,-7.75,137227.00,132782.00,134479.00
1.57,-0.12,-0.25,124.78,-30.54,-13.45,137230.00,132760.00,134515.00
1.61,-0.05,-0.28,124.78,-32.36,-12.06,137197.00,132784.00,134496.00
1.57,-0.10,-0.43,124.78,-31.33,-12.89,137196.00,132765.00,134502.00
1.61,0.04,-0.05,124.78,16.58,-1.21,137217.00,132774.00,134496.00
1.60,-0.10,-0.33,124.78,13.94,7.76,137207.00,132780.00,134530.00
1.64,-0.09,-0.36,66.51,30.15,11.46,137213.00,132782.00,134503.00
1.53,0.02,-0.22,69.85,38.11,32.02,137215.00,132750.00,134501.00
1.53,-0.13,-0.11,124.78,55.32,-2.90,137230.00,132775.00,134524.00
1.58,-0.11,-0.36,121.44,57.46,2.01,137231.00,132790.00,134513.00
1.61,-0.23,-0.43,124.78,88.59,-9.75,137232.00,132776.00,134491.00
1.48,0.08,-0.09,124.78,92.31,-5.83,137248.00,132772.00,134498.00
1.56,0.00,-0.13,120.44,125.04,9.62,137268.00,132749.00,134495.00
1.48,-0.10,-0.04,124.78,125.04,21.61,137277.00,132779.00,134502.00
1.38,-0.10,0.10,124.78,125.04,12.43,137283.00,132785.00,134526.00
1.35,0.13,0.10,124.78,125.04,15.68,137292.00,132786.00,134491.00
1.31,0.08,0.25,124.78,125.04,27.83,137313.00,132785.00,134497.00
1.40,-0.24,0.32,124.78,100.10,-8.76,137295.00,132770.00,134484.00
1.33,0.10,0.27,124.78,95.46,-22.03,137292.00,132773.00,134492.00
1.22,0.28,0.34,124.78,85.80,0.35,137298.00,132772.00,134479.00
1.29,0.35,0.31,101.90,89.29,30.75,137302.00,132760.00,134501.00
1.34,-0.40,0.62,77.60,38.79,27.11,137293.00,132781.00,134461.00
1.30,-0.03,0.28,55.36,30.34,-6.55,137282.00,132773.00,134512.00
1.31,0.19,0.01,24.13,65.67,3.06,137290.00,132783.00,134478.00
1.30,0.03,0.12,-27.09,119.21,14.33,137282.00,132786.00,134506.00
1.12,-0.19,0.33,-124.52,125.04,-21.24,137296.00,132780.00,134506.00
0.96,-0.01,0.46,-125.21,125.04,-9.00,137289.00,132785.00,134488.00
0.82,-0.04,0.42,-28.15,125.04,-11.01,137275.00,132767.00,134475.00
0.71,0.11,0.58,-53.17,125.04,16.21,137267.00,132785.00,134473.00
0.58,0.04,0.99,92.12,125.04,5.72,137265.00,132792.00,134462.00
0.49,0.05,0.64,58.39,125.04,6.33,137247.00,132779.00,134502.00
0.31,0.05,0.80,-6.02,125.04,6.65,137247.00,132777.00,134492.00
0.18,0.32,0.69,92.19,125.04,25.14,137222.00,132775.00,134500.00
0.18,-0.01,1.10,107.76,125.04,36.18,137204.00,132781.00,134485.00
0.02,-0.36,1.26,-50.21,125.04,-31.17,137190.00,132768.00,134491.00
0.04,0.13,1.02,-40.83,117.35,-44.16,137174.00,132766.00,134482.00
-0.06,0.30,1.13,10.50,106.22,-22.22,137171.00,132762.00,134486.00
-0.07,0.09,1.14,-19.29,84.26,-12.90,137159.00,132771.00,134495.00
-0.13,0.10,1.14,-36.44,52.98,-7.15,137149.00,132775.00,134475.00
-0.11,-0.19,1.07,-60.72,47.62,-18.95,137140.00,132743.00,134463.00
-0.13,-0.28,1.10,-87.59,49.22,-53.01,137147.00,132773.00,134483.00
-0.19,-0.15,1.30,-87.41,29.17,-82.20,137164.00,132786.00,134498.00
-0.31,-0.44,1.20,-55.83,7.61,-112.33,137169.00,132782.00,134494.00
-0.33,-0.63,1.16,-81.99,0.01,-125.22,137180.00,132778.00,134501.00
-0.28,-0.68,0.86,-125.21,8.77,-125.22,137229.00,132788.00,134494.00
-0.47,-0.60,0.99,-125.21,53.33,-125.22,137237.00,132790.00,134491.00
-0.76,-0.30,1.26,-125.21,70.68,-125.22,137239.00,132799.00,134490.00
-0.61,-0.35,1.09,-106.31,63.80,-125.22,137261.00,132796.00,134489.00
-0.46,-0.26,0.63,-86.50,84.48,-125.22,137249.00,132779.00,134471.00
-0.47,-0.14,0.90,-24.41,117.63,-125.22,137245.00,132801.00,134502.00
-0.48,-0.48,1.35,9.80,112.02,-125.22,137244.00,132789.00,134475.00
-0.44,-0.92,0.76,-95.83,34.97,-125.22,137246.00,132787.00,134478.00
-0.46,-0.41,0.67,-125.21,81.11,-125.22,137228.00,132785.00,134473.00
-0.26,-0.14,0.94,-79.40,106.44,-125.22,137219.00,132789.00,134497.00
-0.20,-0.46,1.20,1.81,79.14,-125.22,137193.00,132782.00,134506.00
-0.13,-0.69,0.74,16.22,39.53,-125.22,137197.00,132788.00,134491.00
-0.22,-0.57,0.91,17.85,46.93,-125.22,137180.00,132783.00,134473.00
